Sinit,beta,alpha
0.11403441,2.150037,0.08172607
0.28463238,2.9396622,0.2789077
0.7331659,0.91325223,0.22318847
0.27396062,2.9495788,0.26935613
0.63294995,1.325136,0.27958158
0.30773342,2.3092384,0.23687659
0.3149916,2.7651505,0.29033303
0.5009293,0.95800185,0.15996373
0.47059906,0.9112019,0.14293692
0.5300402,1.1647387,0.2057861
0.19135857,1.7739465,0.11315329
0.35515755,1.5222226,0.18020964
0.47294453,1.7644504,0.2781624
0.66678166,0.54798,0.12179435
0.43097544,1.3428755,0.19291545
0.73977166,0.6076899,0.14985059
0.4862494,1.3296208,0.21550912
0.74688303,0.9911446,0.24675636
0.47011682,1.5939275,0.24977738
0.48928836,1.7930095,0.29243287
0.32368222,2.750388,0.29675055
0.30243963,1.3762246,0.13874163
0.6496295,0.43193138,0.09353179
0.28504944,1.7526749,0.166533
0.2964181,1.0801345,0.10672381
0.46984953,1.2956723,0.20292367
0.24357764,1.8516924,0.15034363
0.5916459,1.21477,0.23957123
0.75112575,1.0428578,0.26110578
0.7352929,0.69008934,0.16913927
0.65633035,0.83817804,0.1833739
0.19958802,2.0758603,0.1381056
0.41831368,1.3047202,0.18192741
0.6216951,1.0716496,0.22207977
0.79095584,0.5228792,0.13785811
0.113380596,1.9811924,0.07487626
0.7883752,0.58297306,0.15320049
0.59831387,1.1907886,0.23748845
0.42093247,1.8614383,0.26117995
0.28783885,1.8834224,0.18070738
0.18726526,2.8462777,0.17766964
0.28988436,2.8619041,0.27654043
0.473166,0.57800555,0.091164194
0.5121596,1.1042202,0.18851231
0.42042598,1.3441316,0.18836927
0.8682483,0.92190236,0.26681337
0.4579031,0.4129546,0.06303106
0.47136754,1.1543247,0.18137039
0.83561844,1.0339212,0.2879879
0.31993562,1.7104253,0.18240865
0.22967038,2.9227347,0.2237552
0.29115316,1.3127537,0.12740412
0.5102791,0.5608093,0.09538976
0.28450412,2.2790608,0.21613406
0.56911063,0.6656858,0.12628295
0.7379715,0.74075717,0.18221922
0.11908322,2.3098462,0.09168797
0.663653,0.70022196,0.15490146
0.14353025,2.6865318,0.12853286
0.25514665,1.6644716,0.14156146
0.30573103,1.675527,0.17075352
0.6738668,1.1945425,0.26832086
0.29815623,1.4087735,0.14001153
0.1917176,2.2665336,0.14484479
0.43860716,0.77882326,0.113865815
0.8853996,0.4509857,0.13310085
0.8139662,0.7794902,0.21149288
0.49183315,1.0839995,0.17771561
0.2201089,1.6097568,0.11810726
0.32159784,2.2123635,0.23716378
0.1802332,1.2624528,0.0758453
0.28313518,0.7182307,0.067785464
0.8237495,0.43685925,0.11995419
0.67686695,0.9785675,0.22078666
0.56086737,1.4261925,0.26663497
0.39973804,2.1196473,0.28243455
0.58419305,1.4113234,0.27482846
0.4384697,1.1659402,0.17040983
0.3926267,1.9096538,0.24992701
0.2769612,2.7181492,0.25094062
0.47878057,1.7833034,0.28460366
0.7102589,0.8578963,0.2031095
0.4687781,1.7629266,0.2754738
0.17751475,2.820439,0.16688985
0.17142412,2.3518307,0.13438684
0.37957275,1.2837989,0.1624317
0.89986914,0.673464,0.20200984
0.16972832,1.8812324,0.1064328
0.24892826,1.6967068,0.14078608
0.4342616,1.8164599,0.2629396
0.41515148,0.45546624,0.06302916
0.29628423,1.6584557,0.16379142
0.3470439,1.9777865,0.22879294
0.36724043,0.9139468,0.11187941
0.55126166,0.38641226,0.07100475
0.18219087,2.9656384,0.18010406
0.44537854,1.9305576,0.28660962
0.77108335,1.1194621,0.28773287
0.6399442,0.49582872,0.10576757
0.18563847,1.8456117,0.11420552
0.43437245,1.2299634,0.17808741
0.3361683,2.5039146,0.2805789
0.70530254,0.4279277,0.100606166
0.75708073,0.31864917,0.08041438
0.53586084,1.3574826,0.24247392
0.8172939,0.79773915,0.21732911
0.37006098,1.2485671,0.15401532
0.8935296,1.0044844,0.29917884
0.70415896,1.0818794,0.25393838
0.32378188,1.3662964,0.14746067
0.5465336,0.54482365,0.09925481
0.3394078,2.2981129,0.25999916
0.47704718,1.7757992,0.28237998
0.62397707,0.8765131,0.18230803
0.52552927,1.6498907,0.28902194
0.18684754,2.1883738,0.13629742
0.6595391,0.52921915,0.11634691
0.5111557,0.6702157,0.11419487
0.20511493,2.7751582,0.18974213
0.52155745,0.39300472,0.06832485
0.122682035,2.7608814,0.11290351
0.442753,1.1172469,0.16488814
0.6530327,1.1421342,0.248617
0.30590913,2.694122,0.27471885
0.28501964,2.5581846,0.24304429
0.8005998,0.4645759,0.12397979
0.28052387,2.1518764,0.20121756
0.6143698,1.4347513,0.29382262
0.16281085,2.1279585,0.115484916
0.58221555,1.3046386,0.25319365
0.38760465,2.178243,0.28143236
0.28236538,0.79497045,0.07482404
0.22425145,2.735412,0.20447335
0.8264579,0.83743584,0.23070183
0.39259717,1.6449225,0.21526398
0.8160588,0.9646221,0.26239613
0.18402646,2.081851,0.12770523
0.43949637,1.8493745,0.27093112
0.602373,1.2733415,0.25567552
0.1957067,2.8448682,0.18558659
