α,β,S₀,lab,t,md
0.2,0.7,0.3,peak-intensity,7,2.1347308
0.2,0.7,0.3,growth-rate,7,2.1198194
0.2,0.7,0.3,outbreak-size,7,1.8332796
0.2,0.7,0.3,S₀,7,0.14561272
0.2,0.7,0.3,α,7,0.3406097
0.2,0.7,0.3,β,7,0.14944558
0.2,0.7,0.3,rep-number,7,0.16848633
0.2,0.3,0.9,peak-intensity,30,2.934632
0.2,0.3,0.9,growth-rate,30,3.6574767
0.2,0.3,0.9,outbreak-size,30,0.03568645
0.2,0.3,0.9,S₀,30,-1.2720262
0.2,0.3,0.9,α,30,0.5413557
0.2,0.3,0.9,β,30,0.918687
0.2,0.3,0.9,rep-number,30,-0.7353956
0.2,0.5,0.5,peak-intensity,27,3.6741674
0.2,0.5,0.5,growth-rate,27,3.462028
0.2,0.5,0.5,outbreak-size,27,1.9657402
0.2,0.5,0.5,S₀,27,-0.1018241
0.2,0.5,0.5,α,27,0.95263386
0.2,0.5,0.5,β,27,0.8049561
0.2,0.5,0.5,rep-number,27,0.06569002
