α,β,S₀,lab,t,md
0.3,0.3,0.6,peak-intensity,3,0.20087634
0.3,0.3,0.6,growth-rate,3,0.967437
0.3,0.3,0.6,outbreak-size,3,0.65023685
0.3,0.3,0.6,S₀,3,-0.02364035
0.3,0.3,0.6,α,3,0.05686976
0.3,0.3,0.6,β,3,0.25418678
0.3,0.3,0.6,rep-number,3,0.48294622
0.3,0.3,0.6,peak-intensity,5,-1.0033251
0.3,0.3,0.6,growth-rate,5,1.5061175
0.3,0.3,0.6,outbreak-size,5,0.82965183
0.3,0.3,0.6,S₀,5,-0.008407582
0.3,0.3,0.6,α,5,0.27303854
0.3,0.3,0.6,β,5,0.25071365
0.3,0.3,0.6,rep-number,5,0.6570546
0.3,0.3,0.6,peak-intensity,10,-6.959407
0.3,0.3,0.6,growth-rate,10,2.1916409
0.3,0.3,0.6,outbreak-size,10,0.88580877
0.3,0.3,0.6,S₀,10,0.013626115
0.3,0.3,0.6,α,10,0.41752478
0.3,0.3,0.6,β,10,0.22692427
0.3,0.3,0.6,rep-number,10,0.7037979
0.3,0.4,0.6,peak-intensity,3,0.77087516
0.3,0.4,0.6,growth-rate,3,0.97939324
0.3,0.4,0.6,outbreak-size,3,0.9027538
0.3,0.4,0.6,S₀,3,0.037055768
0.3,0.4,0.6,α,3,0.20463048
0.3,0.4,0.6,β,3,0.1913931
0.3,0.4,0.6,rep-number,3,0.4243549
0.3,0.4,0.6,peak-intensity,5,0.92744726
0.3,0.4,0.6,growth-rate,5,1.5592271
0.3,0.4,0.6,outbreak-size,5,1.3001648
0.3,0.4,0.6,S₀,5,0.050626993
0.3,0.4,0.6,α,5,0.3655853
0.3,0.4,0.6,β,5,0.18775995
0.3,0.4,0.6,rep-number,5,0.44158977
0.3,0.4,0.6,peak-intensity,10,0.049972743
0.3,0.4,0.6,growth-rate,10,2.3262937
0.3,0.4,0.6,outbreak-size,10,1.5284232
0.3,0.4,0.6,S₀,10,0.06550131
0.3,0.4,0.6,α,10,0.40298763
0.3,0.4,0.6,β,10,0.16938563
0.3,0.4,0.6,rep-number,10,0.437921
0.3,0.5,0.6,peak-intensity,3,1.0321678
0.3,0.5,0.6,growth-rate,3,1.0325774
0.3,0.5,0.6,outbreak-size,3,1.0244011
0.3,0.5,0.6,S₀,3,0.100015156
0.3,0.5,0.6,α,3,0.27230722
0.3,0.5,0.6,β,3,0.14026456
0.3,0.5,0.6,rep-number,3,0.24981661
0.3,0.5,0.6,peak-intensity,5,1.6916679
0.3,0.5,0.6,growth-rate,5,1.695464
0.3,0.5,0.6,outbreak-size,5,1.647896
0.3,0.5,0.6,S₀,5,0.110021934
0.3,0.5,0.6,α,5,0.33578885
0.3,0.5,0.6,β,5,0.13256155
0.3,0.5,0.6,rep-number,5,0.23844014
0.3,0.5,0.6,peak-intensity,10,2.4379926
0.3,0.5,0.6,growth-rate,10,2.5013344
0.3,0.5,0.6,outbreak-size,10,2.2334642
0.3,0.5,0.6,S₀,10,0.124132976
0.3,0.5,0.6,α,10,0.34563795
0.3,0.5,0.6,β,10,0.1240226
0.3,0.5,0.6,rep-number,10,0.21267149
0.3,0.6,0.6,peak-intensity,3,1.0875285
0.3,0.6,0.6,growth-rate,3,1.1266581
0.3,0.6,0.6,outbreak-size,3,0.96036786
0.3,0.6,0.6,S₀,3,0.1603634
0.3,0.6,0.6,α,3,0.27505183
0.3,0.6,0.6,β,3,0.1117506
0.3,0.6,0.6,rep-number,3,0.22677043
0.3,0.6,0.6,peak-intensity,5,1.6672959
0.3,0.6,0.6,growth-rate,5,1.7872913
0.3,0.6,0.6,outbreak-size,5,1.3791856
0.3,0.6,0.6,S₀,5,0.17225482
0.3,0.6,0.6,α,5,0.2655777
0.3,0.6,0.6,β,5,0.09208215
0.3,0.6,0.6,rep-number,5,0.21098816
0.3,0.6,0.6,peak-intensity,10,2.4128802
0.3,0.6,0.6,growth-rate,10,2.65032
0.3,0.6,0.6,outbreak-size,10,1.9993091
0.3,0.6,0.6,S₀,10,0.13915837
0.3,0.6,0.6,α,10,0.23976588
0.3,0.6,0.6,β,10,0.062983066
0.3,0.6,0.6,rep-number,10,0.19155389
0.3,0.7,0.6,peak-intensity,3,1.1136608
0.3,0.7,0.6,growth-rate,3,1.2366512
0.3,0.7,0.6,outbreak-size,3,0.9483509
0.3,0.7,0.6,S₀,3,0.21365912
0.3,0.7,0.6,α,3,0.2558837
0.3,0.7,0.6,β,3,0.11093355
0.3,0.7,0.6,rep-number,3,0.27788216
0.3,0.7,0.6,peak-intensity,5,1.582404
0.3,0.7,0.6,growth-rate,5,1.9687299
0.3,0.7,0.6,outbreak-size,5,1.3324479
0.3,0.7,0.6,S₀,5,0.23762496
0.3,0.7,0.6,α,5,0.22501479
0.3,0.7,0.6,β,5,0.091393575
0.3,0.7,0.6,rep-number,5,0.2851948
0.3,0.7,0.6,peak-intensity,10,1.9906579
0.3,0.7,0.6,growth-rate,10,2.7982073
0.3,0.7,0.6,outbreak-size,10,1.7746416
0.3,0.7,0.6,S₀,10,0.19170263
0.3,0.7,0.6,α,10,0.25379866
0.3,0.7,0.6,β,10,0.0768603
0.3,0.7,0.6,rep-number,10,0.2632101
0.3,0.8,0.6,peak-intensity,3,1.1868562
0.3,0.8,0.6,growth-rate,3,1.4118159
0.3,0.8,0.6,outbreak-size,3,1.0855227
0.3,0.8,0.6,S₀,3,0.25755635
0.3,0.8,0.6,α,3,0.23472677
0.3,0.8,0.6,β,3,0.13530041
0.3,0.8,0.6,rep-number,3,0.32705057
0.3,0.8,0.6,peak-intensity,5,1.5409536
0.3,0.8,0.6,growth-rate,5,2.173247
0.3,0.8,0.6,outbreak-size,5,1.4266038
0.3,0.8,0.6,S₀,5,0.28984046
0.3,0.8,0.6,α,5,0.22460909
0.3,0.8,0.6,β,5,0.1318646
0.3,0.8,0.6,rep-number,5,0.36124283
