α,β,S₀,lab,t,md
0.2,0.3,0.6,peak-intensity,3,0.9882293
0.2,0.3,0.6,growth-rate,3,1.0013075
0.2,0.3,0.6,outbreak-size,3,0.9616753
0.2,0.3,0.6,S₀,3,0.08802389
0.2,0.3,0.6,α,3,0.050378937
0.2,0.3,0.6,β,3,0.050376527
0.2,0.3,0.6,rep-number,3,0.34469256
0.2,0.3,0.6,peak-intensity,5,1.6008999
0.2,0.3,0.6,growth-rate,5,1.6221892
0.2,0.3,0.6,outbreak-size,5,1.4617038
0.2,0.3,0.6,S₀,5,0.10212165
0.2,0.3,0.6,α,5,0.25909817
0.2,0.3,0.6,β,5,0.07828831
0.2,0.3,0.6,rep-number,5,0.34627086
0.2,0.3,0.6,peak-intensity,10,2.4332678
0.2,0.3,0.6,growth-rate,10,2.3792148
0.2,0.3,0.6,outbreak-size,10,1.7874967
0.2,0.3,0.6,S₀,10,0.12640782
0.2,0.3,0.6,α,10,0.33545262
0.2,0.3,0.6,β,10,0.084982775
0.2,0.3,0.6,rep-number,10,0.33592573
0.2,0.4,0.6,peak-intensity,3,0.97345513
0.2,0.4,0.6,growth-rate,3,1.0953708
0.2,0.4,0.6,outbreak-size,3,0.8037451
0.2,0.4,0.6,S₀,3,0.15039435
0.2,0.4,0.6,α,3,0.24976587
0.2,0.4,0.6,β,3,0.011937385
0.2,0.4,0.6,rep-number,3,0.22411576
0.2,0.4,0.6,peak-intensity,5,1.4041368
0.2,0.4,0.6,growth-rate,5,1.7490882
0.2,0.4,0.6,outbreak-size,5,1.0664035
0.2,0.4,0.6,S₀,5,0.15542307
0.2,0.4,0.6,α,5,0.35676184
0.2,0.4,0.6,β,5,0.008688063
0.2,0.4,0.6,rep-number,5,0.19912878
0.2,0.4,0.6,peak-intensity,10,1.7705159
0.2,0.4,0.6,growth-rate,10,2.4818506
0.2,0.4,0.6,outbreak-size,10,1.4953493
0.2,0.4,0.6,S₀,10,0.09154725
0.2,0.4,0.6,α,10,0.33424976
0.2,0.4,0.6,β,10,-0.03631343
0.2,0.4,0.6,rep-number,10,0.14681056
0.2,0.5,0.6,peak-intensity,3,0.7681419
0.2,0.5,0.6,growth-rate,3,1.2243118
0.2,0.5,0.6,outbreak-size,3,0.55738264
0.2,0.5,0.6,S₀,3,0.2088819
0.2,0.5,0.6,α,3,0.3505287
0.2,0.5,0.6,β,3,-0.0019475075
0.2,0.5,0.6,rep-number,3,0.2636081
0.2,0.5,0.6,peak-intensity,5,1.0279118
0.2,0.5,0.6,growth-rate,5,1.9279212
0.2,0.5,0.6,outbreak-size,5,0.73261476
0.2,0.5,0.6,S₀,5,0.23336919
0.2,0.5,0.6,α,5,0.40877002
0.2,0.5,0.6,β,5,-0.0074521587
0.2,0.5,0.6,rep-number,5,0.27269718
0.2,0.5,0.6,peak-intensity,10,1.4559281
0.2,0.5,0.6,growth-rate,10,2.696288
0.2,0.5,0.6,outbreak-size,10,1.1890081
0.2,0.5,0.6,S₀,10,0.21293081
0.2,0.5,0.6,α,10,0.5009243
0.2,0.5,0.6,β,10,0.039884552
0.2,0.5,0.6,rep-number,10,0.28687593
0.2,0.6,0.6,peak-intensity,3,0.7451954
0.2,0.6,0.6,growth-rate,3,1.3406254
0.2,0.6,0.6,outbreak-size,3,0.66766465
0.2,0.6,0.6,S₀,3,0.25741556
0.2,0.6,0.6,α,3,0.3887339
0.2,0.6,0.6,β,3,0.012167213
0.2,0.6,0.6,rep-number,3,0.3253187
0.2,0.6,0.6,peak-intensity,5,1.0580066
0.2,0.6,0.6,growth-rate,5,2.0999887
0.2,0.6,0.6,outbreak-size,5,0.9369287
0.2,0.6,0.6,S₀,5,0.28799716
0.2,0.6,0.6,α,5,0.41507316
0.2,0.6,0.6,β,5,0.010311531
0.2,0.6,0.6,rep-number,5,0.34690446
