α,β,S₀,lab,t,md
0.2,0.3,0.1,peak-intensity,10,-14.073154
0.2,0.3,0.1,growth-rate,10,2.1061206
0.2,0.3,0.1,outbreak-size,10,-2.5163496
0.2,0.3,0.1,S₀,10,0.26858836
0.2,0.3,0.1,α,10,-1.7349755
0.2,0.3,0.1,β,10,0.26974732
0.2,0.3,0.1,rep-number,10,0.3969345
0.2,0.3,0.3,peak-intensity,10,-5.5983944
0.2,0.3,0.3,growth-rate,10,2.2159007
0.2,0.3,0.3,outbreak-size,10,-0.23702395
0.2,0.3,0.3,S₀,10,0.2160107
0.2,0.3,0.3,α,10,-0.16688272
0.2,0.3,0.3,β,10,0.21050915
0.2,0.3,0.3,rep-number,10,0.37055793
0.2,0.3,0.5,peak-intensity,10,1.0058252
0.2,0.3,0.5,growth-rate,10,2.3173637
0.2,0.3,0.5,outbreak-size,10,0.93644756
0.2,0.3,0.5,S₀,10,0.17061026
0.2,0.3,0.5,α,10,0.31659907
0.2,0.3,0.5,β,10,0.15105005
0.2,0.3,0.5,rep-number,10,0.33881095
0.2,0.3,0.7,peak-intensity,10,2.5863934
0.2,0.3,0.7,growth-rate,10,2.4267538
0.2,0.3,0.7,outbreak-size,10,2.0924063
0.2,0.3,0.7,S₀,10,-0.041331604
0.2,0.3,0.7,α,10,0.34851047
0.2,0.3,0.7,β,10,0.012068678
0.2,0.3,0.7,rep-number,10,0.32454228
0.2,0.3,0.9,peak-intensity,10,0.7956967
0.2,0.3,0.9,growth-rate,10,2.473991
0.2,0.3,0.9,outbreak-size,10,-1.3301799
0.2,0.3,0.9,S₀,10,-0.2802831
0.2,0.3,0.9,α,10,0.40923876
0.2,0.3,0.9,β,10,-0.25882217
0.2,0.3,0.9,rep-number,10,0.31406137
0.2,0.5,0.1,peak-intensity,10,-11.184187
0.2,0.5,0.1,growth-rate,10,2.1228244
0.2,0.5,0.1,outbreak-size,10,-1.0158231
0.2,0.5,0.1,S₀,10,0.24410878
0.2,0.5,0.1,α,10,-1.0701281
0.2,0.5,0.1,β,10,0.2490955
0.2,0.5,0.1,rep-number,10,0.074013844
0.2,0.5,0.3,peak-intensity,10,0.85861963
0.2,0.5,0.3,growth-rate,10,2.3233573
0.2,0.5,0.3,outbreak-size,10,0.8589877
0.2,0.5,0.3,S₀,10,0.1631675
0.2,0.5,0.3,α,10,0.30528674
0.2,0.5,0.3,β,10,0.1592882
0.2,0.5,0.3,rep-number,10,0.19166313
0.2,0.5,0.5,peak-intensity,10,1.9031982
0.2,0.5,0.5,growth-rate,10,2.5459888
0.2,0.5,0.5,outbreak-size,10,1.9961785
0.2,0.5,0.5,S₀,10,0.17076398
0.2,0.5,0.5,α,10,0.381669
0.2,0.5,0.5,β,10,0.070262715
0.2,0.5,0.5,rep-number,10,0.19864406
0.2,0.5,0.7,peak-intensity,10,1.1841277
0.2,0.5,0.7,growth-rate,10,2.782896
0.2,0.5,0.7,outbreak-size,10,0.73990273
0.2,0.5,0.7,S₀,10,0.18672134
0.2,0.5,0.7,α,10,0.5307518
0.2,0.5,0.7,β,10,-0.024130547
0.2,0.5,0.7,rep-number,10,0.36616814
0.2,0.5,0.9,peak-intensity,10,1.4332247
0.2,0.5,0.9,growth-rate,10,3.1653812
0.2,0.5,0.9,outbreak-size,10,0.7170425
0.2,0.5,0.9,S₀,10,0.20831823
0.2,0.5,0.9,α,10,0.82410604
0.2,0.5,0.9,β,10,0.28143033
0.2,0.5,0.9,rep-number,10,0.2983241
0.2,0.7,0.1,peak-intensity,10,-8.346422
0.2,0.7,0.1,growth-rate,10,2.1329386
0.2,0.7,0.1,outbreak-size,10,-0.63443863
0.2,0.7,0.1,S₀,10,0.2269083
0.2,0.7,0.1,α,10,-0.5499574
0.2,0.7,0.1,β,10,0.21921301
0.2,0.7,0.1,rep-number,10,-0.21213455
0.2,0.7,0.3,peak-intensity,10,2.566613
0.2,0.7,0.3,growth-rate,10,2.5138516
0.2,0.7,0.3,outbreak-size,10,1.906725
0.2,0.7,0.3,S₀,10,0.13413481
0.2,0.7,0.3,α,10,0.34437817
0.2,0.7,0.3,β,10,0.15039077
0.2,0.7,0.3,rep-number,10,0.16673431
0.2,0.7,0.5,peak-intensity,10,1.6168723
0.2,0.7,0.5,growth-rate,10,2.8890173
0.2,0.7,0.5,outbreak-size,10,1.7062796
0.2,0.7,0.5,S₀,10,0.24307935
