θtrue,gitcommit,sig-α,sig-β,obs_model,known,obs_params,path,sig-S₀
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,"Any[0.013431081643336649, 0.03792701194065002, 0.05154490931309662, 0.057498452629142265, 0.05940739008405053, 0.07754355236897002, 0.11663954657223569, 0.18323870661678304, 0.22909983696469918, 0.3030680082629216, 0.3387635491453813, 0.38251480132745536, 0.4078734808086486, 0.4231094559820487, 0.4479308905560182]","Any[0.09498239078216283, 0.3400002456642109, 0.5333734119344465, 0.6632598705341599, 0.7055370914004371, 0.7325567446112106, 0.7539095816916452, 0.8043868197056854, 0.8383830366470647, 0.9026609506812336, 0.9253093946343223, 0.9735956707609356, 0.9971096573365987, 0.985136833193013, 1.0100279308715125]",poisson,Set([:S₀]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,"Any[0.030247775352825385, 0.031321540387758626, 0.05243856172777347, 0.08857520208247129, 0.2755427639676682, 0.6275484051740957, 0.9133872145930287, 1.0785571004663512, 1.1935141060523902, 1.2772685103881565, 1.3250506744014197, 1.360164793719474, 1.418693714016018, 1.4432898184381078, 1.4505386003307221]","Any[0.45851224682299746, 1.2109424692007704, 1.5167040035092763, 1.4499123612831935, 1.495170487458579, 1.7457301936613534, 1.9462028089962615, 2.068617325685392, 2.152276575341257, 2.199081964803912, 2.2477743679670303, 2.262875665603717, 2.2864981685476344, 2.2829361707679983, 2.2873022450592764]",poisson,Set([:S₀]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,"Any[0.022908357685884586, 0.05486216998355024, 0.08191383791716594, 0.4444025820417166, 1.3021921458922054, 1.850427853705921, 2.2080120702404353, 2.3889324864405856, 2.53339419010748, 2.634448733693013, 2.7339652963613448, 2.749334192529912, 2.814217054746886, 2.8314789657754633, 2.8620539112368677]","Any[1.3263881392835541, 1.7724736796799767, 1.6693921602084612, 1.8672499294359324, 2.5101718911206286, 2.9618482601925322, 3.1973437767072115, 3.3721027732747375, 3.4954949633995973, 3.552182687809753, 3.599360611583837, 3.6407221271779577, 3.6772353805026063, 3.7026543123776863, 3.7158703499673735]",poisson,Set([:S₀]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,"Any[0.049820909252075316, 0.0723588851461959, 0.3122089140754857, 1.6396455866776058, 2.8980315719757472, 4.061214799072378, 4.886623285841932, 5.580492428628024, 6.188807773849325, 6.691517206570378, 7.101784216753434, 7.3551889070946155, 7.466041741907145, 7.820874088972913, 7.802366196244938]","Any[1.8404476288868798, 1.7921334163426792, 1.9172967827609126, 3.0396707555132605, 4.103670756923206, 5.113264840718898, 5.929832942933332, 6.573084829463982, 7.169972542531398, 7.636438833141356, 7.918980527039594, 8.232363852513023, 8.458849827039918, 8.631397573068071, 8.720335721087405]",poisson,Set([:S₀]),"(n = 10000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=10000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,missing,"Any[0.06000424332902342, 0.18806802413566856, 0.25614985785784433, 0.3157224088066595, 0.3746451439759082, 0.43588874311524267, 0.47733457510138794, 0.5436918491394683, 0.5667981896396186, 0.6244018231424181, 0.652662857446063, 0.6784423247128818, 0.6706933655788894, 0.6897217351947537, 0.7152919073526733]",poisson,Set([:α]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.021457982742016452, -0.04887005713302198, 0.05575617151869213, 0.20854137206143006, 0.30249626480280384, 0.3534913818268274, 0.38274863021997063, 0.3941427361129115, 0.4233933727245476, 0.4423445416489767, 0.43410240128718613, 0.4446150908464664, 0.43935637059565896, 0.44452841393430537, 0.4403909658449552]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,missing,"Any[0.26758561476075404, 0.421451919115292, 0.407736129013893, 0.553700859164035, 0.8481519461242472, 1.1093067487008652, 1.379544248103908, 1.5465680856231023, 1.6494370037368529, 1.719370739121198, 1.7712809854926608, 1.777366604243902, 1.8184475673305978, 1.8390130367964725, 1.8330896304061832]",poisson,Set([:α]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.07980713379908068, 0.017729658429582084, 0.0778428194781962, 0.3152662578902411, 0.6592188258260774, 0.9513838713385916, 1.1532078494176004, 1.264840668717799, 1.3504229417491187, 1.3906032557483945, 1.41193202344073, 1.4350802361546433, 1.438892712961191, 1.469766379410355, 1.4379500573615098]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,missing,"Any[0.4796341715138872, 0.491663244500566, 0.62735137241986, 1.2250959679548052, 1.9444054879174153, 2.4466802353844535, 2.730059163986058, 2.929841854426844, 3.0315531937403772, 3.1722559977089526, 3.22306474630563, 3.242439584596778, 3.2692916532826115, 3.299838555219805, 3.3328873272259365]",poisson,Set([:α]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.029897510301773202, 0.08196245667696563, 0.29980693521154794, 0.9877488323493285, 1.7533927182474442, 2.2352985146661632, 2.5112593460077246, 2.6830082849946737, 2.770096255196559, 2.83631109952506, 2.8424951394803895, 2.8614201600555145, 2.881924707984588, 2.901349594301851, 2.9102719042154765]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,missing,"Any[0.5320016226154821, 0.5906089284271475, 1.2931941989824183, 2.7669185451571487, 4.083532772944857, 5.2572648890557465, 6.084583762141785, 6.643496361686712, 7.151154937226023, 7.555150789715561, 7.596636231683112, 7.96181337358072, 7.992702834886454, 8.153874907515139, 8.145841595642421]",poisson,Set([:α]),"(n = 10000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=10000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.0853823214625518, 0.18071105506546545, 0.9310474399079536, 2.505683171301859, 3.9254393600289115, 4.918063554045421, 5.885767996808366, 6.437656869023934, 6.680942206255683, 7.184211333111184, 7.3686167109153695, 7.487688248580262, 7.688010752920908, 7.774904281259708, 7.839094703429917]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,"Any[-0.00011111083204165855, 0.00824724826720992, 0.019034156288143755, 0.024395621116518287, 0.03610898956875588, 0.05057095598081273, 0.06586306465639367, 0.1061361742440763, 0.15420948226577605, 0.21373052212804045, 0.2522453917185425, 0.2808039698660916, 0.3246586126734213, 0.34605061979799295, 0.37540532203669225]",missing,poisson,Set([:β]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:β]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.001572165975708186, 0.05342902195540039, 0.2935367676855958, 0.5262954902969167, 0.5946789029842748, 0.5993550586139313, 0.597680765063085, 0.5930557965304821, 0.6086465123305163, 0.5986381217864231, 0.6238421259060464, 0.6427995387341494, 0.6642942935093089, 0.6871994164831039, 0.6921432834137596]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,"Any[0.0030297858830946487, 0.0028299422443751696, 0.012843121503902967, 0.028112238254179175, 0.06148759012956202, 0.21723187948541267, 0.4349439445489515, 0.6539961009876261, 0.8253488572933838, 0.9628533937181466, 1.0712031924021028, 1.1607797389932228, 1.2043319536119719, 1.2344450935823559, 1.275937476805259]",missing,poisson,Set([:β]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:β]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.08792517168123615, 0.7771830982729445, 1.1474814310481138, 1.1454127814633783, 1.0934453062214182, 1.121661305278461, 1.2614456398331981, 1.3879435639138042, 1.4942331813189218, 1.5762993230990403, 1.6206900560889357, 1.6638095385487612, 1.7092241445175482, 1.7200982839277437, 1.7219455259860275]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e07093b69ecf442b0ec368aa594fdbae6b9c7ad2-dirty,"Any[-8.267857166599431e-5, 0.010179878608170958, 0.03193987899351816, 0.10918996564857798, 0.5656486830721793, 1.1087788229029898, 1.4935877618607027, 1.7410544801531913, 1.9362075161407084, 2.0625910099679152, 2.1826391125122293, 2.2843110871251913, 2.2997155537153833, 2.3540064795546103, 2.3928051317568677]",missing,poisson,Set([:β]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:β]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.8499234371789189, 1.3213640199935424, 1.2749770467092387, 1.233564120808454, 1.5825524393686297, 2.022086735539128, 2.2842021717029586, 2.472389458327516, 2.598833835363853, 2.651117452024597, 2.7110266057488457, 2.7682704512321386, 2.7888757721272, 2.814775141370745, 2.8177139598877066]"
