θtrue,gitcommit,sig-α,sig-β,obs_model,known,obs_params,path,sig-S₀
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,"Any[0.0017631777980059602, 0.012687331227509894, 0.023582776590083128, 0.02661438965391402, 0.02420557079271676, 0.021162064376783276, 0.02418868074074815, 0.02824725811763634, 0.03706059680305783, 0.049686787771522856, 0.07298629870257513, 0.11085062791652284, 0.1483407824788606, 0.20646437488021155, 0.27169793527899383, 0.3372078551708951, 0.39085588439167296, 0.43412496844954984, 0.4608980809846169, 0.4901970781429327, 0.5310451356343783, 0.5505613162961134, 0.5544428959717727, 0.5741073442909379, 0.6051408044786468, 0.6100829782517412, 0.6154318561282941, 0.6325829903795911, 0.6247361103430252, 0.638465230146951]","Any[0.00889734213324233, 0.10347642804864865, 0.27337804040944896, 0.4544908261914548, 0.6254778005809657, 0.7919329418448696, 0.9108236701292901, 0.9779512576302324, 0.9803974536654486, 0.9929748753674914, 0.995299268976841, 1.01539051820127, 1.0555398090697277, 1.0766943465039094, 1.1111888899515314, 1.1608494056376735, 1.2004531573242607, 1.2476784408887045, 1.2902775758396254, 1.30958797413467, 1.3187789897026811, 1.3434936418665604, 1.3416953651047931, 1.4014097601815942, 1.3931074186420904, 1.379952125281742, 1.4047884692556325, 1.4405433555074554, 1.4135414653766665, 1.417048696832422]",poisson,Set([:S₀]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,"Any[0.0014359999368370206, 0.01210066961260507, 0.023605470554663454, 0.026744955008550404, 0.02509480924418939, 0.023015219163651953, 0.022891803721315374, 0.027940711503373707, 0.03259398910677225, 0.05111960093794367, 0.06809318459552653, 0.11926676414295312, 0.1634604815090945, 0.20212604015981947, 0.2782635644710047, 0.32603458595439333, 0.37815625013867227, 0.4184548177802172, 0.4744426839572695, 0.5057671595918151, 0.5089775226666359, 0.5479053811900972, 0.5534366417994067, 0.587006008705597, 0.6015497296510041, 0.5966601974243213, 0.625480354136383, 0.633592906303299, 0.6289350286655611, 0.6367314002437598]","Any[0.010761932593184016, 0.10501136165152243, 0.27277048466757076, 0.45695086721436, 0.6245342831910766, 0.7859074114882052, 0.8975521261459584, 0.9709721527855799, 0.9812632689073801, 0.9965708405757073, 0.9940624685012798, 1.02414033504251, 1.0357680064347394, 1.0975824519600028, 1.1063209487629018, 1.1657602723360527, 1.2092067343318817, 1.2465732982015518, 1.2689777013549466, 1.305225123102557, 1.3367723566411969, 1.329925950138217, 1.374509274018292, 1.3668253793485596, 1.4097325961455554, 1.4042352664303925, 1.4137394344751546, 1.4245891945236784, 1.4209639162149195, 1.4341114387626]",poisson,Set([:S₀]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,"Any[0.011500744134418508, 0.01706623497315634, 0.004987602858314956, 0.0002773913537839329, 0.008568937910207467, 0.018592078551014316, 0.034597253026014366, 0.07092718555811074, 0.16679243107345856, 0.3590099442809585, 0.6146683841374448, 0.854731342376196, 1.0154461734017965, 1.1611336396935918, 1.2827430821940113, 1.3836822080324969, 1.4303161814537797, 1.4782793371858942, 1.5363655989129323, 1.5634119607403598, 1.5972214671033496, 1.6259549315833808, 1.6641049339004017, 1.6799351446735804, 1.713290213206508, 1.726363642166849, 1.7588065681565015, 1.75644258226784, 1.7585413328622492, 1.7616061038869644]","Any[0.10099964654523085, 0.4844339511210953, 0.9384696254678081, 1.344891879123044, 1.549393352903566, 1.5968624594122651, 1.5697375110040344, 1.5184834096644926, 1.5370893683194764, 1.637435728151224, 1.802254471388858, 1.9872427930745515, 2.1287684164225413, 2.2292084196681468, 2.3005862393817775, 2.3869097767481153, 2.4527589515997033, 2.472241662284264, 2.5007966160248585, 2.5462607510070776, 2.5625320358912855, 2.5933809161904033, 2.5978549050958564, 2.5967136213341915, 2.6412906030087244, 2.6195698620877446, 2.6303414598346078, 2.6405575324345083, 2.6502335591671806, 2.635747927052917]",poisson,Set([:S₀]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,"Any[0.011741693240914636, 0.016087417953340708, 0.005395426168903038, 0.0009467912189513907, 0.00979308848221737, 0.020720022524133137, 0.032854900033833644, 0.06383712769514555, 0.16215140325426164, 0.3542616995779348, 0.6185866832969216, 0.8349515424958641, 1.0078329199908636, 1.1745117404106273, 1.281506544211819, 1.3766279040492815, 1.419125017901608, 1.5127358006173803, 1.5412652454052074, 1.5667090784609863, 1.6069710840647093, 1.6224723288655754, 1.6807913206494296, 1.6782647306145881, 1.7008936121940554, 1.7171145344400203, 1.7278305897017352, 1.7470406868777426, 1.7527603249403896, 1.7561640181367932]","Any[0.10410660339940724, 0.4929603832440951, 0.9414570591834588, 1.32765396483599, 1.5538774280336018, 1.6039254372663312, 1.5737321421422692, 1.5219596408073928, 1.5287168856559328, 1.6380614769580097, 1.8153385943605087, 1.9809817203827607, 2.108798723700962, 2.227949936197975, 2.3224171707868493, 2.3725164296606263, 2.432385711349515, 2.480538770687887, 2.510091512254784, 2.54626301441094, 2.5642885679513783, 2.583307942857164, 2.613384160357633, 2.61182844402595, 2.6303493768320534, 2.624358467312671, 2.639284036946569, 2.654037955453622, 2.6528997273900132, 2.6554450440708783]",poisson,Set([:S₀]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,"Any[0.011383971928125269, -0.004981726696859288, 0.0056312251206259495, 0.022358630009840424, 0.046913255734748395, 0.08734543346042162, 0.2267068663380207, 0.5881625325663609, 1.0640623831266782, 1.4642850736680597, 1.8284974319391907, 2.101525882221983, 2.3085334692923642, 2.4444546382245966, 2.6168858893576843, 2.707652433639235, 2.782235488014402, 2.824085472287054, 2.9138144952741785, 2.9487680394986264, 3.010522715388572, 3.0237852686641147, 3.0434288860494205, 3.102640878169225, 3.1207535331057445, 3.134641265347917, 3.1500741685021185, 3.170241324410832, 3.1927001145737886, 3.219909209001061]","Any[0.5710434497822303, 1.3534505728802726, 1.7152344757207811, 1.7773811045618546, 1.7467591159253695, 1.7190627862555332, 1.7488216499430178, 2.0467951635113555, 2.425081145936889, 2.747705634702106, 3.013001416440667, 3.2090684746591887, 3.378305896516733, 3.5074963214898425, 3.5978807523115335, 3.6860463222720843, 3.77084958388886, 3.80615637713236, 3.8510131860932533, 3.8974561238722787, 3.9205119333580725, 3.971959534430557, 3.975782216557706, 3.9905615908632783, 4.0311103086553866, 4.00431554437515, 4.0211337810088414, 4.051533548856211, 4.048047458832396, 4.044639963973039]",poisson,Set([:S₀]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,"Any[0.01073126180987863, -0.005174621172914707, 0.005489792794520462, 0.021276555194369256, 0.0492490565147432, 0.09029624792954953, 0.21788390141065164, 0.6042379730221668, 1.0604767395793275, 1.49989979397924, 1.8321534278991218, 2.0785399535196136, 2.277281955131095, 2.4651396809634503, 2.61789233986018, 2.6902236537688355, 2.8024926789148195, 2.8429824610481407, 2.9196509857541186, 2.9572037530954147, 2.9879736444218157, 3.038057019859704, 3.0767082110282145, 3.09855343874674, 3.1121270670088377, 3.1328269086993132, 3.1634406077841817, 3.1670407897854984, 3.17770816042356, 3.2309040040931527]","Any[0.5682065797950359, 1.345945346931217, 1.7196283820293128, 1.7778528454211846, 1.7489550427868679, 1.7213880242976127, 1.7694896412232206, 2.03980757295553, 2.411228706529251, 2.7380673961193005, 3.001768319503, 3.2026700920244844, 3.343933330095999, 3.5064867222148473, 3.605397891857406, 3.698278110641783, 3.7488094141858253, 3.842608694539663, 3.877854161455817, 3.920103142306632, 3.9194091213472895, 3.9634103001876384, 3.9589813944061776, 4.0114010780735825, 3.996927100086459, 4.02911537632988, 4.041484088519729, 4.04720152966725, 4.053796168637666, 4.07078400317046]",poisson,Set([:S₀]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771,missing,"Any[0.006244118517884264, 0.07336476825969275, 0.16914119178822415, 0.2574029623483086, 0.30931887136783537, 0.3375523409140843, 0.34615364591750236, 0.3672905400618499, 0.3967414588592793, 0.4533198142969589, 0.49954039393607325, 0.5403025814203464, 0.5921738645131278, 0.6655755065021682, 0.6948940615374125, 0.7359077189604248, 0.7808117641589686, 0.8000668639719701, 0.8338825240030076, 0.864639478110042, 0.8717372582903997, 0.916058939984618, 0.9179924096919938, 0.931822543163618, 0.9428091599986179, 0.9681329787976932, 0.9806716004960192, 0.9813331305364625, 0.9792873239669337, 0.9942162721763252]",poisson,Set([:α]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.004722759833558467, -0.02002971396352482, -0.06590824676683907, -0.0638194118186462, -0.028479855790298735, 0.03837745748381119, 0.0895386487267132, 0.15490780709782795, 0.2136713172853978, 0.2867040841789045, 0.3424334552215818, 0.38929024864794354, 0.428432393809338, 0.45096117261668034, 0.4964107612363738, 0.5384258045436662, 0.546193356548568, 0.5462827211466148, 0.5713856896345467, 0.5851210383307344, 0.5953500292828386, 0.5975834702585333, 0.5968742051922592, 0.6207940241315271, 0.6050593622327051, 0.6083338900052255, 0.618728161239738, 0.6138621545752347, 0.6126317850681637, 0.6180896925130722]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,missing,"Any[0.009443890749765642, 0.0687420425269018, 0.1647466880364289, 0.25582857477302834, 0.31336426018149505, 0.3369659990070184, 0.34775365198911967, 0.3621992100483068, 0.3965214703159828, 0.44802370338970376, 0.48867367202831136, 0.5506449153000582, 0.5895406177710821, 0.6385437194976205, 0.6969940788585903, 0.7298851820078018, 0.759798493544294, 0.8121784037175377, 0.840879721600567, 0.8691630208103528, 0.9105112868584718, 0.8888175364684732, 0.9508016495838052, 0.9310748849971127, 0.953976717609524, 0.9509155465267936, 0.9780488008640048, 0.9734233967269067, 0.9842281338910339, 0.9800240302234939]",poisson,Set([:α]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2","Any[-0.0033890812145437807, -0.017978810550381565, -0.05796337361049605, -0.07767047314275201, -0.036893314708562, 0.02494295443809481, 0.08783494146989101, 0.16269412079829346, 0.225762235587091, 0.28468913606766694, 0.34568355545408896, 0.3629269705240559, 0.4399249574628159, 0.4527737934620254, 0.49284162292460476, 0.5117623413069109, 0.5336555933990379, 0.563471023693151, 0.5661881655378161, 0.5795329404912265, 0.6090016978848914, 0.5938612700951595, 0.6122821896056432, 0.6154481895329847, 0.5987686868493152, 0.6116698179656217, 0.6065176816379504, 0.603085160196623, 0.6244293782891261, 0.6162975750610993]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,missing,"Any[0.06569019572670214, 0.29030033783074444, 0.43076371811101144, 0.4557779042550748, 0.44704479179162354, 0.43967203979306113, 0.4993046920347124, 0.6246711708844603, 0.7955573029343879, 0.9860049219876114, 1.183436887660175, 1.3463562919372016, 1.5209168672179527, 1.6454137388934391, 1.7449147575853785, 1.81526720179681, 1.8650884557632772, 1.936070568815116, 1.9718056776044461, 1.9949250322124437, 2.0374953024685243, 2.0717797054874274, 2.0798246508877756, 2.086797537584751, 2.103489895738544, 2.119236727395702, 2.1275773031296894, 2.136503019666333, 2.1399976657761255, 2.1449635457194143]",poisson,Set([:α]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.01603947052143909, -0.07647626816748655, -0.026574209215731462, 0.016154682706343636, 0.03198342742910117, 0.06451039924623943, 0.15988141794458874, 0.33711574082893525, 0.5342970225076515, 0.7620373537399807, 0.9563759869269816, 1.1588235648262835, 1.2879775163772689, 1.4034535096234302, 1.4761057050996658, 1.5556474452302718, 1.5897039828022748, 1.6271768271184628, 1.6502034275164765, 1.6706780036045195, 1.6976829955864727, 1.6940642231782026, 1.7291304838339348, 1.7142161908610232, 1.728176747414696, 1.7202968972634305, 1.7334453678195068, 1.723291807506139, 1.7444936871704042, 1.726361853013838]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",1adc3561bc2b62f41ba0c234cf67bd9746c3cc85,missing,"Any[0.06954580868574524, 0.29499407966783336, 0.43128157228169384, 0.45157349490581983, 0.4431367293929645, 0.4438359932862662, 0.4863005741208564, 0.6378628092667503, 0.800426924786086, 0.9741173342462968, 1.176057302419707, 1.3448645759630464, 1.5101794193116633, 1.6370487984409818, 1.7306025682997301, 1.8175504828333988, 1.8973978325971372, 1.9456651019926183, 1.973776164973864, 2.0162602760891732, 2.0462496656660227, 2.0548006320932943, 2.0561931542906855, 2.0966526871415505, 2.117241780604895, 2.105885427193508, 2.1240345825997964, 2.152107593677994, 2.1366503649645883, 2.1502378401354765]",poisson,Set([:α]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2)_#1.jld2","Any[-0.01951434525471644, -0.08412898159632218, -0.02779047964177697, 0.0140716030778435, 0.029853154708876332, 0.06452080504201656, 0.15682304923864734, 0.33033858977617253, 0.5375380386104293, 0.7651046704819131, 0.9617447077320977, 1.1406761204471, 1.296158592834072, 1.4050004534808698, 1.495708121655336, 1.555239376045862, 1.5900942781915892, 1.6247840318126925, 1.6609623453473272, 1.6694017010571198, 1.678344810343095, 1.6896681427637814, 1.695915111341596, 1.6988010187883082, 1.73022460917289, 1.7247498514507482, 1.7033797534750568, 1.73740330915235, 1.7331928366311753, 1.721844175225716]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",2d7f2ec3e4bc7483edc8bd7b280b4f01a2d81771-dirty,missing,"Any[0.3334272554997867, 0.49872914738014895, 0.5010953654442486, 0.49615201358451994, 0.5332029371542101, 0.705490692529297, 1.0077356740433983, 1.3821758386293785, 1.7679604978489363, 2.1312746150440045, 2.344551923016077, 2.562264762342725, 2.736281991231251, 2.8484376736266115, 2.9538787016483146, 3.0440808816832017, 3.1450276199461644, 3.1800460602791594, 3.253549542188701, 3.282108061904301, 3.3083829737343025, 3.354391551055027, 3.352322560737585, 3.369577010023904, 3.3856535921892923, 3.40590188700453, 3.4034158617218795, 3.442213204561363, 3.433143662722131, 3.445835746163779]",poisson,Set([:α]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan-marg/known=Set([:α]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.046427303339761195, 0.02012592693628064, 0.041390287122938026, 0.05864893153575348, 0.13164098447805164, 0.3309449574212214, 0.6706988243025266, 1.0901337492622352, 1.5369155386385362, 1.9012855681070595, 2.1731149558193343, 2.3689008005085928, 2.5273762028048843, 2.6425597381043198, 2.751113575357773, 2.814823197710757, 2.845532334471696, 2.9067500708112215, 2.9238417670645114, 2.9256490274391123, 2.9796450598388415, 2.9854608567564602, 2.989695794144806, 3.0123709853747656, 3.0127289593606226, 3.0392861740099106, 3.044847522150595, 3.0388707167153313, 3.0563091987015567, 3.056223834009335]"
