θtrue,utils,dekwargs,param_comb,gitcommit,script,obs_model,obs_params,θprior,path
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-1.5151942200919421e-16, 0.04729216185059646, 0.14194488338406677, 0.28374483518419313, 0.43106876202860067, 0.5664687248878306, 0.6747268519311488, 0.7067489701386336, 0.7272840367511023, 0.7551317310430179, 0.7944505049498223, 0.822028260829875, 0.8321114665468028, 0.85415985953399, 0.8910138957815663]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-1.5022878774306747e-16, 0.042352443845376286, 0.13285503154247896, 0.2559919987254998, 0.4087049561879135, 0.522144844360345, 0.5918282640698042, 0.6254769988655158, 0.6672210106046712, 0.701666813972601, 0.7659532516837564, 0.8251794223942555, 0.9036147904651988, 0.9384800039738775, 1.0072579163766364]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-1.4981245410883304e-16, 0.062044345637007295, 0.1843729430777721, 0.25222665470743205, 0.29599398234937246, 0.35656403744923154, 0.3841815313575998, 0.42121790635233436, 0.46041006486884967, 0.49259926545308735, 0.5565165158906729, 0.6287985900322236, 0.6923975319675146, 0.7494485689738204, 0.8059558098689574]","(saveat = 2, save_idxs = 2)","(:β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[2.3589463715723015e-16, 0.0841663296194792, 0.3070550837872015, 0.5690318938615188, 0.732338522533348, 0.8387826688811888, 0.9038794620365752, 0.9508542960829571, 1.0215352525502313, 1.0716564442099266, 1.1364367850585204, 1.1814452099306145, 1.231671764837067, 1.3057558922986137, 1.3646076556672972]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[2.338407245616736e-16, 0.09378863741840984, 0.2906160946529845, 0.5185159371700749, 0.6743276523549437, 0.7636064547583468, 0.8277306455726191, 0.8845124391475794, 0.949612039793721, 1.0403228733447114, 1.141138866755165, 1.2586885218168136, 1.375253865804389, 1.4845922788535435, 1.5790006655728046]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[2.3285540162731877e-16, 0.12816634145957864, 0.30880227714521324, 0.45501766366640833, 0.5332498872161879, 0.5790294566185457, 0.6117116212998404, 0.6566152194344598, 0.7386184568736509, 0.8222345270429114, 0.9397166261511865, 1.0590292750098813, 1.1737679751160648, 1.2736317078142956, 1.379050348162271]","(saveat = 2, save_idxs = 2)","(:β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-4.0334402484631937e-16, 0.061005441523602905, 0.2241294823368043, 0.5065896492314672, 0.7579330184954974, 0.9323962067246397, 1.0417966298409764, 1.1187335089853665, 1.1677250216671278, 1.2120822060643135, 1.2225401397968025, 1.2746668838621023, 1.281844291942414, 1.3103512130463664, 1.3411650673288331]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 10, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=10, n=10) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-4.032885136950881e-16, 0.06706747642369322, 0.24273859708615442, 0.5027870282825592, 0.7512748467733266, 0.9188689520007892, 1.0034351340029264, 1.073745421491644, 1.1572854983953111, 1.214436374475817, 1.3180711523155684, 1.3640696486279917, 1.4288132538609803, 1.4554664769872951, 1.5393864932440455]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 10, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=10, n=10) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-4.041766921147882e-16, 0.08969038097323266, 0.30901140568855795, 0.4846846084250607, 0.6282831483969642, 0.7025452402393512, 0.755125373312858, 0.8417541370767314, 0.9198004237179739, 1.0317206476978866, 1.09313225370968, 1.159145864536681, 1.23734501002809, 1.307709779580573, 1.3396261169484334]","(saveat = 2, save_idxs = 2)","(:β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 10, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=10, n=10) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.6975310046518643e-16, 0.2991413753510394, 1.0238602248809934, 1.5362770721837218, 1.789265529614649, 1.971844408925833, 2.1408596608326427, 2.303300721425658, 2.4458053429390647, 2.5548444935932264, 2.643557049436773, 2.719902295133533, 2.7954429833666126, 2.809863132897981, 2.840565160605099]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 10, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=10, n=100) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.748046152272309e-16, 0.30007961462787663, 0.9874540842717913, 1.4573474949361676, 1.6885142032827016, 1.8671702008043345, 2.0951967265610483, 2.3001591214202244, 2.4962384063306344, 2.666269660859861, 2.8670371148494, 2.9857458399059538, 3.0909518060413217, 3.185243053549759, 3.298435269087964]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 10, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=10, n=100) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
