θtrue,utils,dekwargs,param_comb,gitcommit,script,obs_model,obs_params,θprior,path
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-1.4972398321155822e-16, 0.001043043350434481, 0.03424130054044778, 0.13470663143437211, 0.2436796121848614, 0.3348112446665046, 0.3725120465323115, 0.40969187659587225, 0.430535888072536, 0.45147278080020126, 0.4955379241361685, 0.5279817828628366, 0.5656666517300758, 0.6029703679914883, 0.6367355202833362]","(saveat = 2, save_idxs = 2)","(:S₀, :α)",5d4741fc44080a9c5d69a651d9f23963fcec89f4,scripts/increasing-tspan.jl#58,neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:S₀, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-1.5151942200919421e-16, 0.04729216185059646, 0.14194488338406677, 0.28374483518419313, 0.43106876202860067, 0.5664687248878306, 0.6747268519311488, 0.7067489701386336, 0.7272840367511023, 0.7551317310430179, 0.7944505049498223, 0.822028260829875, 0.8321114665468028, 0.85415985953399, 0.8910138957815663]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-1.5022878774306747e-16, 0.042352443845376286, 0.13285503154247896, 0.2559919987254998, 0.4087049561879135, 0.522144844360345, 0.5918282640698042, 0.6254769988655158, 0.6672210106046712, 0.701666813972601, 0.7659532516837564, 0.8251794223942555, 0.9036147904651988, 0.9384800039738775, 1.0072579163766364]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-1.4981245410883304e-16, 0.062044345637007295, 0.1843729430777721, 0.25222665470743205, 0.29599398234937246, 0.35656403744923154, 0.3841815313575998, 0.42121790635233436, 0.46041006486884967, 0.49259926545308735, 0.5565165158906729, 0.6287985900322236, 0.6923975319675146, 0.7494485689738204, 0.8059558098689574]","(saveat = 2, save_idxs = 2)","(:β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[2.3560320361326604e-16, 0.01635352245143548, 0.13593104055162628, 0.3112912166400404, 0.4629654495656715, 0.534678402135984, 0.5644317276397782, 0.6068353492559304, 0.6335251565636363, 0.6926180182068343, 0.7514311777818526, 0.8249659310201168, 0.90001550097935, 0.9875758010014324, 1.0960612602686455]","(saveat = 2, save_idxs = 2)","(:S₀, :α)",5d4741fc44080a9c5d69a651d9f23963fcec89f4,scripts/increasing-tspan.jl#58,neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:S₀, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[2.3589463715723015e-16, 0.0841663296194792, 0.3070550837872015, 0.5690318938615188, 0.732338522533348, 0.8387826688811888, 0.9038794620365752, 0.9508542960829571, 1.0215352525502313, 1.0716564442099266, 1.1364367850585204, 1.1814452099306145, 1.231671764837067, 1.3057558922986137, 1.3646076556672972]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[2.338407245616736e-16, 0.09378863741840984, 0.2906160946529845, 0.5185159371700749, 0.6743276523549437, 0.7636064547583468, 0.8277306455726191, 0.8845124391475794, 0.949612039793721, 1.0403228733447114, 1.141138866755165, 1.2586885218168136, 1.375253865804389, 1.4845922788535435, 1.5790006655728046]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[2.3285540162731877e-16, 0.12816634145957864, 0.30880227714521324, 0.45501766366640833, 0.5332498872161879, 0.5790294566185457, 0.6117116212998404, 0.6566152194344598, 0.7386184568736509, 0.8222345270429114, 0.9397166261511865, 1.0590292750098813, 1.1737679751160648, 1.2736317078142956, 1.379050348162271]","(saveat = 2, save_idxs = 2)","(:β, :α)",06fe95b31a777b3a301482e42e4c6777572b2caa,scripts/increasing-tspan.jl#57,neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-5.556666238248908e-17, 0.021622345854221948, 0.17073468336283076, 0.35363709502232094, 0.492819881109901, 0.5516617827707581, 0.5929709396804814, 0.6146820154681707, 0.6407965180298331, 0.7016719050972279, 0.7579814614455941, 0.8647380590638875, 0.9613536987398098, 1.0671567833221611, 1.1802059740342214]","(saveat = 2, save_idxs = 2)","(:S₀, :α)",5d4741fc44080a9c5d69a651d9f23963fcec89f4,scripts/increasing-tspan.jl#58,neg_binom,"(r = 1, n = 1000)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=1000) || param_comb=(:S₀, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-5.3235194030776254e-17, 0.11685489541659462, 0.40478473711986246, 0.6574252195121919, 0.8071559714379178, 0.9218977554120372, 1.0185331074499187, 1.0805451386244913, 1.1313224035161784, 1.1920035589826223, 1.2846713919060848, 1.3465492513009096, 1.4181671751152416, 1.4896675041333798, 1.5515985917384938]","(saveat = 2, save_idxs = 2)","(:S₀, :β)",4ffb0b2bac330f99c76f83fe70c54b9c8faf6bf8-dirty,scripts/increasing-tspan.jl#58,neg_binom,"(r = 1, n = 1000)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=1000) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[-5.0015547259363303e-17, 0.11625643460187393, 0.3514341531182557, 0.5927558359143572, 0.7203995152272555, 0.8200974912191936, 0.8804422063840478, 0.9228260413780457, 1.0014930926017924, 1.0995772870259415, 1.2110950129658293, 1.3172188575745645, 1.4330343639936822, 1.5800046775343426, 1.706089178251283]","(saveat = 2, save_idxs = 2)","(:S₀, :β, :α)",4ffb0b2bac330f99c76f83fe70c54b9c8faf6bf8-dirty,scripts/increasing-tspan.jl#58,neg_binom,"(r = 1, n = 1000)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/obs_model=neg_binom || obs_params=(r=1, n=1000) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
