θtrue,gitcommit,sig-α,sig-β,obs_model,known,obs_params,path,sig-S₀
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.0208466041074414, 0.051822633734279845, 0.06011058437876567, 0.062147868274960334, 0.06753308346209502, 0.07745722489838933, 0.10232183720574946, 0.17093846118447226, 0.22679994762447903, 0.28632399706034767, 0.3264938729145894, 0.3648572090418969, 0.38420422477678484, 0.40346690743194846, 0.41755322642879444]","Any[0.10569019054069238, 0.3548704582711282, 0.5398561878970513, 0.6776990369915891, 0.7079427462030098, 0.7318487602309246, 0.7726054772951666, 0.8156209076493676, 0.8585674067941527, 0.8927399616237109, 0.9465915869990094, 0.9657448648570474, 0.985253266747938, 0.9933738815920553, 1.0103118708349041]",poisson,Set([:S₀]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.04499950751441353, 0.011484904107111121, 0.004797032995033562, 0.031655571858923356, 0.22266698340771374, 0.5673696008218448, 0.8367350691475033, 1.0089564456744593, 1.0999322562183682, 1.1976845326351353, 1.25275595624077, 1.2713589397530805, 1.302381426165189, 1.3371476560555706, 1.343440677978894]","Any[0.49181343824692103, 1.2038883475485516, 1.4847583332559005, 1.409088783977652, 1.44660045882271, 1.6847721092033385, 1.8741154178120436, 2.0167745485753645, 2.093264071595824, 2.1359928658603193, 2.1636541327417564, 2.194049759235918, 2.2036486837967715, 2.2059834949300976, 2.2149587971437605]",poisson,Set([:S₀]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.0010866391504632028, -0.01449041064455668, -0.039499779094420505, 0.37748165017396434, 1.3481913591282404, 1.952415588359596, 2.303326353241836, 2.525527096051547, 2.653296948852632, 2.7244776869025347, 2.7925078566607353, 2.823126274515375, 2.8595115520776497, 2.887036867869485, 2.9072000749872378]","Any[1.3048134937562126, 1.7338729460314648, 1.6036043908496287, 1.8527392384923527, 2.643636770239881, 3.1127412555564082, 3.4024966499188087, 3.5750892545104027, 3.69703156922468, 3.74001553426007, 3.7913385223755003, 3.7945076957470474, 3.796985549752631, 3.8163437968667204, 3.8388565930241203]",poisson,Set([:S₀]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,missing,"Any[0.06437457723350923, 0.18865907181661626, 0.2520403505773153, 0.29931844541328834, 0.3730810375316339, 0.43857084332530233, 0.4875031757389107, 0.544658555174627, 0.5849936379883784, 0.6237946403655723, 0.645492222222872, 0.6707434846049753, 0.7132089104037832, 0.7082869186205292, 0.7219493848962318]",poisson,Set([:α]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.016470710130231957, -0.05753669276981533, 0.04648773996566944, 0.17510002849890485, 0.26568942636991016, 0.3244527175485711, 0.35384385545757596, 0.3809378955438632, 0.40381570076607287, 0.4066068972831995, 0.42457184593695196, 0.42248954461019583, 0.4214207598070559, 0.4333852943035537, 0.4397713305158766]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,missing,"Any[0.2620884177172881, 0.42082640125787746, 0.3717592676063738, 0.5180112222467458, 0.7948966607684774, 1.0911102614062833, 1.3619847473151199, 1.5720319820527346, 1.688486244009612, 1.7515727890414385, 1.8249956665616707, 1.8421878965084078, 1.885039519215065, 1.8881554466210928, 1.932871984710119]",poisson,Set([:α]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.09228624878761099, -0.018593948102644437, 0.015417060473938177, 0.24927478455877639, 0.5887142267428144, 0.919296436335255, 1.1562324126071482, 1.312640519991181, 1.3973677796714665, 1.4403355626013945, 1.4577942151353913, 1.4712452021754385, 1.4877971902920202, 1.4918470333620337, 1.4882831723003864]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,missing,"Any[0.4846300752497674, 0.3841349049616333, 0.44647536820831635, 1.0071148364952054, 1.8152045105111625, 2.39669322613582, 2.7053448218373752, 2.892055612333006, 2.9911216689593365, 3.0330977887695014, 3.088094562760073, 3.119888430094197, 3.1368108349854738, 3.1524630610080213, 3.1643787436850626]",poisson,Set([:α]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.003938251293063919, -0.03628695046288738, 0.12639090796434238, 0.7468863351079043, 1.598696154764709, 2.2234416658434335, 2.490502217567544, 2.6085963321135126, 2.6653087091251084, 2.6822900519391397, 2.697854965026331, 2.694940155837269, 2.688045039129198, 2.712742136551359, 2.703775394844365]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[-0.0007987518582118682, 0.011223913224856868, 0.02540665235926439, 0.038586007018455805, 0.05156858637026173, 0.0672069506368885, 0.09191936982492643, 0.12869196877886283, 0.1765094333702611, 0.22307857817695373, 0.280576046123196, 0.3259927303596639, 0.363087420417256, 0.39516025800089905, 0.41091003548036475]",missing,poisson,Set([:β]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.001692600200553779, 0.07278042150748018, 0.30310220613194505, 0.5272105800117631, 0.6040438112176288, 0.6279418111823227, 0.6141318522277263, 0.6126752142313993, 0.615486754085861, 0.6242230246542476, 0.6533260961060442, 0.6692423482469859, 0.6914174051028483, 0.7136753600078148, 0.7121221632313275]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.0033934911430438456, 0.02884321888740239, 0.029759384277509914, 0.028573596802218673, 0.06959631407241561, 0.21235289069341737, 0.472162188174865, 0.6841169831061272, 0.8563789021819584, 0.9875288825972314, 1.0903206978443774, 1.147311061050635, 1.219718988567441, 1.2600134445647282, 1.2954671491416725]",missing,poisson,Set([:β]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.08823207011697531, 0.7717071755046793, 1.151799802050033, 1.1523797290778193, 1.0924810419497115, 1.1500719889870914, 1.2958463120729833, 1.4097425189161286, 1.5434204782568905, 1.6047872890548884, 1.660153182718156, 1.69554295472944, 1.7153970350219292, 1.7352663114429616, 1.7442505359561902]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.026260079912113907, -0.01805639153987996, -0.06023026507356455, -0.016547969026228345, 0.453749337991356, 0.9926881560539889, 1.3585113755693163, 1.64640968607485, 1.8694629384206563, 2.0279495391753635, 2.1315666193700404, 2.2265106596132225, 2.296027851151093, 2.3537952628153427, 2.376296699417197]",missing,poisson,Set([:β]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.8399368755532819, 1.313714275629851, 1.2462144600771365, 1.1765414976527104, 1.5434217473434186, 1.9620447694147443, 2.2383210661533357, 2.435750606550667, 2.5700606392355665, 2.6849124861208247, 2.7388849098087276, 2.791544086732277, 2.8295293693161265, 2.8351584541815487, 2.8613899321803773]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.014499471116277814, 0.028385773034082434, 0.027600473500605873, 0.016479030261487913, 0.0010002157742870015, -0.0026643805345302487, 0.012980349862366758, 0.0458959862724235, 0.07685297836532647, 0.11078617058407561, 0.14905935831965442, 0.1831773870260269, 0.21227548006180497, 0.23858117753897548, 0.2589782144531645]","Any[0.08078787073517327, 0.20808811905998112, 0.2460603929450022, 0.2800288074586563, 0.32664907706116303, 0.3685025587235712, 0.41354477544368273, 0.4531307010557255, 0.48468441821878944, 0.5079719422586194, 0.5283378450606487, 0.5298110545544271, 0.5336159984151962, 0.5578559803086581, 0.5753503172707028]",poisson,Set{Symbol}(),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.021031978884429207, -0.08372538670480231, 0.017773017295610722, 0.13459019262949892, 0.2125580961025796, 0.24888997078150601, 0.2546366700228524, 0.24929862473156317, 0.23956681869339103, 0.23354202865323598, 0.235394566682569, 0.2392013894973161, 0.25079669032226765, 0.26404052718957244, 0.2668773925656224]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.025183656386208574, 0.03640617470504702, 0.058200244570253204, 0.03138553880142856, 0.015159999728302658, 0.02352726370604649, 0.015020363444803455, 0.038594973103220964, 0.10751405564835773, 0.19942054311197085, 0.30174673739021424, 0.3916783976685517, 0.46464916923762384, 0.5270798672173311, 0.5713497804364381]","Any[0.28286290255948293, 0.42977016334363677, 0.39731695836102654, 0.5011133098124302, 0.7354175966789271, 0.9082185257245915, 0.9451439652919559, 0.9315641200652254, 0.9530395763573818, 0.9894124438956933, 1.0345034334010157, 1.0886031665050122, 1.1315123929290243, 1.1527819330788593, 1.2015156207578388]",poisson,Set{Symbol}(),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.11686642650053589, 0.005085753425642203, 0.0711106514056147, 0.24309183543366386, 0.39012808582506064, 0.372454478362884, 0.3401376821742062, 0.3459198768208371, 0.37961284495536, 0.462169704677098, 0.5294339911256039, 0.5981022146070372, 0.6568646975200855, 0.6920311545931117, 0.729508038195213]"
