θtrue,gitcommit,sig-α,sig-β,obs_model,known,obs_params,path,sig-S₀
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.00012273150492789445, 0.00031411575790947873, 0.00027358422145129155, 0.00028326421846863216, 0.00014212108111179782, -0.00043039018893464354, 0.0006003869661346792, 0.00037522607997295105, 6.834448263793483e-5, 7.504196171605219e-5, 0.0007687254380079026, 0.001928801626445263, 0.0022902080329391047, 0.0020810748364091442, 0.002500620329317239]","Any[0.0006184089312583203, 0.0017541799154426486, 0.0030014456680488777, 0.002783645148050283, 0.0033313940939979935, 0.004191872214385639, 0.004447504997399847, 0.004065857364772952, 0.0049070820738009915, 0.004499851725879173, 0.005256425291828614, 0.0066032130127113954, 0.0054440976601347465, 0.0056615193606290555, 0.0049692192878356845]",neg_binom,Set([:S₀]),"(r = 1, n = 10)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=neg_binom || obs_params=(r=1, n=10) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.0002958454635957012, 0.00046978301088682, 0.0004018739307705339, 0.0002943096694671009, 0.000325573284486111, 0.0001234930230640794, 0.00018587848618806054, 0.0005826642907198751, 0.001303005508053767, 0.002301788696016315, 0.0016121147988932669, 0.0029972542157184084, 0.003987613449388403, 0.003100648085758224, 0.003736338738929022]","Any[0.0019644658267126496, 0.004235883277144271, 0.005497423850253071, 0.00651945201835155, 0.006958109973663494, 0.007164336091509232, 0.006418477145746747, 0.006692696356420102, 0.006544227903593282, 0.007871111588327189, 0.010891820704955929, 0.007520501104300161, 0.011534078334103455, 0.011894444710190463, 0.01533904416060074]",neg_binom,Set([:S₀]),"(r = 1, n = 100)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=neg_binom || obs_params=(r=1, n=100) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.0003377880837700218, 0.0003611100577932939, 0.00045866006899462414, 0.0005038230682556503, 0.00021255101657178017, 0.0002445792568275428, 0.00026819758398204444, 0.0004289249214174167, 0.0006754798229073516, 0.002372898864545982, 0.0014953222829469166, 0.0037897619589877442, 0.003756637376213631, 0.0043592591232787395, 0.0036805798679063174]","Any[0.0019205261973829627, 0.003959462244618179, 0.006256735279326172, 0.006601964509203798, 0.006825115782377158, 0.007554004686435391, 0.008608150523828243, 0.007268001954853938, 0.008869726469259213, 0.008200342270162503, 0.01010413617241932, 0.009223143237104017, 0.010037715412081505, 0.008521190868219316, 0.010089864569172867]",neg_binom,Set([:S₀]),"(r = 1, n = 1000)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=neg_binom || obs_params=(r=1, n=1000) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.0002321159529570691, 0.0005498298607687986, 0.0005761847680111394, 0.0007230969163968665, 0.000386895431175952, 0.0006015238692916679, 0.001483886492613456, 0.0009889217762990526, 0.0017524242730745775, 0.0022554366610283328, 0.002853996162680172, 0.003618332946199766, 0.0038576101362849838, 0.0040859926555781405, 0.0041743148850380265]","Any[0.0011311049545927522, 0.004140834580295234, 0.005671226807794189, 0.006566523287727828, 0.006947066591739603, 0.006970425646756461, 0.007311943813446989, 0.009007593071803486, 0.006916166046175641, 0.00895573625504054, 0.008664610977928141, 0.00806505802940365, 0.010341343737205534, 0.009362377509328152, 0.010507084978000994]",neg_binom,Set([:S₀]),"(r = 10, n = 10)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=neg_binom || obs_params=(r=10, n=10) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.00045617135219128987, 0.00033922750231543913, 0.00022126389627112679, 0.00021725137393458516, 0.0013128418449649625, 0.002260414581219215, 0.00471910207064326, 0.005299616005740495, 0.007738083752868153, 0.008761067131150446, 0.009323347912615692, 0.009760317525256402, 0.009767645165149155, 0.010302667832357858, 0.009730584780027118]","Any[0.005358510744036207, 0.01354131641620475, 0.016392803172015122, 0.01419353649052174, 0.012932449460939842, 0.013722400792639573, 0.015056931072837204, 0.01856713416977158, 0.01696078944329955, 0.017827005259940142, 0.018729200017369347, 0.017272213048438824, 0.020231212795993277, 0.018672600949354204, 0.018538926574541002]",neg_binom,Set([:S₀]),"(r = 10, n = 100)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=neg_binom || obs_params=(r=10, n=100) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,"Any[0.00034956453618531334, 0.00013733084637201212, 8.646871390296547e-5, 2.3732149190866637e-5, 0.0011010308778574961, 0.0030732266863629405, 0.005255593483540867, 0.007737206705220613, 0.00868842445123489, 0.011657237726026653, 0.010050290810609852, 0.010906213726401623, 0.014429336698707815, 0.012552370335762073, 0.015036751385058783]","Any[0.008378398085585562, 0.014565215932129071, 0.01733137223387436, 0.0158124215051818, 0.014319845988311052, 0.016518204108141355, 0.019318009156684655, 0.020436686735737144, 0.020224243163113283, 0.021108576213581205, 0.0216627939420949, 0.021143863277137374, 0.020751123535019605, 0.021916691923569546, 0.022745672799154563]",neg_binom,Set([:S₀]),"(r = 10, n = 1000)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=neg_binom || obs_params=(r=10, n=1000) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.0208466041074414, 0.051822633734279845, 0.06011058437876567, 0.062147868274960334, 0.06753308346209502, 0.07745722489838933, 0.10232183720574946, 0.17093846118447226, 0.22679994762447903, 0.28632399706034767, 0.3264938729145894, 0.3648572090418969, 0.38420422477678484, 0.40346690743194846, 0.41755322642879444]","Any[0.10569019054069238, 0.3548704582711282, 0.5398561878970513, 0.6776990369915891, 0.7079427462030098, 0.7318487602309246, 0.7726054772951666, 0.8156209076493676, 0.8585674067941527, 0.8927399616237109, 0.9465915869990094, 0.9657448648570474, 0.985253266747938, 0.9933738815920553, 1.0103118708349041]",poisson,Set([:S₀]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.04499950751441353, 0.011484904107111121, 0.004797032995033562, 0.031655571858923356, 0.22266698340771374, 0.5673696008218448, 0.8367350691475033, 1.0089564456744593, 1.0999322562183682, 1.1976845326351353, 1.25275595624077, 1.2713589397530805, 1.302381426165189, 1.3371476560555706, 1.343440677978894]","Any[0.49181343824692103, 1.2038883475485516, 1.4847583332559005, 1.409088783977652, 1.44660045882271, 1.6847721092033385, 1.8741154178120436, 2.0167745485753645, 2.093264071595824, 2.1359928658603193, 2.1636541327417564, 2.194049759235918, 2.2036486837967715, 2.2059834949300976, 2.2149587971437605]",poisson,Set([:S₀]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",e5e2befed309f0b8350bfdd28a7d5bd028b6c78f-dirty,"Any[0.0010866391504632028, -0.01449041064455668, -0.039499779094420505, 0.37748165017396434, 1.3481913591282404, 1.952415588359596, 2.303326353241836, 2.525527096051547, 2.653296948852632, 2.7244776869025347, 2.7925078566607353, 2.823126274515375, 2.8595115520776497, 2.887036867869485, 2.9072000749872378]","Any[1.3048134937562126, 1.7338729460314648, 1.6036043908496287, 1.8527392384923527, 2.643636770239881, 3.1127412555564082, 3.4024966499188087, 3.5750892545104027, 3.69703156922468, 3.74001553426007, 3.7913385223755003, 3.7945076957470474, 3.796985549752631, 3.8163437968667204, 3.8388565930241203]",poisson,Set([:S₀]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,missing,"Any[0.00011465277350948747, 0.001150516065044667, 0.0019760357209324866, 0.002051095820036051, 0.0024055584663180895, 0.0026091665562260704, 0.0030523339654400065, 0.0035719513384645735, 0.0034871486587197847, 0.00481769315776447, 0.0039939012939651354, 0.004374650195311903, 0.004840904234774214, 0.004288702600193367, 0.004684411624217119]",neg_binom,Set([:α]),"(r = 1, n = 10)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=neg_binom || obs_params=(r=1, n=10) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.00017430726160704122, -0.00011285370675229204, 0.0002627871659216693, 0.0014938022261335065, 0.0023600507449215487, 0.002301710375404052, 0.002902722282185784, 0.002998738442390866, 0.003110714237961021, 0.0023635394345632773, 0.0031520490671881436, 0.0024006587624902462, 0.002917622294938276, 0.0028222469081199816, 0.00208016146989233]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",ef7d42de1afa371937a5a1e5ccbf8474b228788e,missing,"Any[0.0005368019560295005, 0.002119955271992459, 0.0022515983345047477, 0.00323954236150361, 0.0026387177958200154, 0.004131847900294489, 0.005672614332663087, 0.0053434177180425755, 0.004855137259274687, 0.00688143332453343, 0.006296707626045258, 0.006929074694318007, 0.008140596095484414, 0.008517127755165336, 0.008200609172731438]",neg_binom,Set([:α]),"(r = 1, n = 100)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=neg_binom || obs_params=(r=1, n=100) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-8.38747008097284e-5, 0.0002443998195467551, 0.0015860045218370556, 0.0028804443962012704, 0.003327780070285955, 0.0028278748529006067, 0.0026918645468413716, 0.0038236667535514416, 0.004259229237064211, 0.003437891712095182, 0.003563558096366784, 0.003583970257375899, 0.004188164303432869, 0.0033859233409888408, 0.004439695019312853]"
