θtrue,gitcommit,sig-α,sig-β,obs_model,known,obs_params,path,sig-S₀
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,"Any[0.00018977491162382973, 0.0007751461045441138, 0.0009425818360882038, 0.0009635801548418179, 0.0006508876132923387, 0.0016209941193192474, -0.00016501443080731493, 0.0021058605329604073, 0.002527136308751838, 0.0020910342910212725, 0.0031619263214710037, 0.003954723650176871, 0.003899267618045267, 0.004694152689817902, 0.005222954674986961]","Any[0.0019125277199921963, 0.005540522826722419, 0.008286034008492945, 0.010116989296436446, 0.008480851817283312, 0.007786831432358577, 0.010742849590779905, 0.011849786994995904, 0.013080598509497077, 0.014331994089610207, 0.011411142020594149, 0.010114231568958645, 0.009331248024851602, 0.011946700916119407, 0.011498544254448679]",poisson,Set([:S₀]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,"Any[0.0005942001303279144, 0.00016051642476510076, 0.00012109836273209348, 0.00011802565867331349, 0.0023894469088777542, 0.0070936489667666625, 0.010423701090559446, 0.013044287122715083, 0.012969501441108795, 0.014062853928728627, 0.012178857531267786, 0.015977256645849938, 0.015483461976198954, 0.0136713362194586, 0.014130753322022481]","Any[0.005277165867379974, 0.012558000986757646, 0.015635882534985556, 0.01431874035967415, 0.014956649412921064, 0.024780517088137156, 0.025273075338275622, 0.028744615595479396, 0.02002535459211398, 0.030401633434865013, 0.02828292684507873, 0.02821304547815215, 0.032193739302954466, 0.028588563108603526, 0.030070175287635573]",poisson,Set([:S₀]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,"Any[2.797756340620102e-5, -0.0001669112835732127, -0.0005297091772159835, 0.003977169363705193, 0.014642615273092139, 0.019925715569346126, 0.03371395521825732, 0.03259261519252569, 0.029353660550510835, 0.041962772546311373, 0.03189676706120838, 0.04143435058029677, 0.03470888477772937, 0.03187376665664244, 0.033216164681769515]","Any[0.018110403889915857, 0.021474091913218467, 0.019661009130165476, 0.023291764445016516, 0.034794517755987714, 0.0403737602103657, 0.04335672881546844, 0.041767841371770136, 0.053060047138203364, 0.04201979523745506, 0.04993796952363589, 0.044502293007670515, 0.044167337626266415, 0.04943702434613173, 0.04999057063651869]",poisson,Set([:S₀]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:S₀]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2",missing
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,missing,"Any[0.000892615352884433, 0.0022571554487144044, 0.0025940213578202276, 0.003263258181076577, 0.0033184820456013827, 0.004839231574532908, 0.004907613648578112, 0.00607125608519362, 0.0072004582047133165, 0.005578956215972437, 0.006191083465502977, 0.0067361095858465, 0.008212252959161646, 0.007921174952731426, 0.010220278187855472]",poisson,Set([:α]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.00016384082279176197, -0.0001356678168156471, -0.00020770277586325947, 0.0019114552112385105, 0.002784493740795494, 0.004225653115558077, 0.0031637660596131266, 0.0035701494357556532, 0.0048040634367897215, 0.004139924553971733, 0.00456554654904776, 0.0044213681657357335, 0.005511271389050129, 0.004885566012068253, 0.004198682255658185]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,missing,"Any[0.0037468973727390023, 0.004977437567040501, 0.0039969953889264324, 0.007068868888320343, 0.012694459484207842, 0.013826383500340858, 0.018532996306458938, 0.022011242011105034, 0.024800058681769512, 0.024026269860840378, 0.01771651499825338, 0.018173644615689884, 0.026749412539582483, 0.021446072145136316, 0.02776652581329379]",poisson,Set([:α]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.0014557931745105023, -0.00010690656789529985, 0.00020701933969055893, 0.002343126520083042, 0.00878552070203418, 0.011797556563221026, 0.01571975115722869, 0.018994903818437422, 0.022935580993346725, 0.021409124293294383, 0.019436403771636135, 0.02006690869258222, 0.02407043650330482, 0.01815728767198956, 0.022067562437646997]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,missing,"Any[0.007576163650463744, 0.005346348125044972, 0.0074252810575937255, 0.012485411535851386, 0.02235100002451905, 0.03211741346071189, 0.038013549748063855, 0.04018089161095331, 0.03824471929799053, 0.03748796913647925, 0.038633629997918556, 0.04182307718382349, 0.037983627439139286, 0.03564363550949342, 0.04134319545833875]",poisson,Set([:α]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:α]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[5.673225137409318e-5, -0.00019626947559138187, 0.001626126694299199, 0.010030384185698023, 0.0175258032779203, 0.029591543879215913, 0.029553494180388176, 0.038839939428471824, 0.03599754282219731, 0.038206457865715804, 0.03845792723286943, 0.028227597807647574, 0.03782974798369904, 0.0274915261305277, 0.0329350810866621]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,"Any[-2.5893620955723748e-5, 0.00014356245091002936, 0.00034838947060307436, 0.000545958422782824, 0.0006663912571363033, 0.0010201772367859, 0.0014120425153520424, 0.001962530692404339, 0.002177510775229444, 0.003271759483829533, 0.0041954562365295826, 0.004201945530896808, 0.005768742228149093, 0.005748540827556652, 0.005219044351608489]",missing,poisson,Set([:β]),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[2.1130694539197062e-5, 0.0013100670222740691, 0.003840721605589134, 0.006955225725602121, 0.007076129327773991, 0.007110592231031755, 0.006239796802327999, 0.005367818093154736, 0.007039990326536851, 0.0069500584913201316, 0.006796632239829033, 0.010806849751959452, 0.008352985988179748, 0.011750952876012192, 0.008630194323892303]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,"Any[5.171066785098962e-5, 0.0005238969803508709, 0.00031996047013657414, 0.00040155605348802376, 0.000935246571454591, 0.001761716108704608, 0.006708025482189558, 0.007741669257643807, 0.010060039063650144, 0.012092190892258397, 0.012224305528760188, 0.013624633454488225, 0.013120500614988893, 0.016827127027567456, 0.014732212216145768]",missing,poisson,Set([:β]),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.001051109014221272, 0.010998787851552696, 0.014549785990229014, 0.013589499531351353, 0.01226471268984919, 0.011243815288779586, 0.014110763959418553, 0.01708715715181884, 0.020823072473497593, 0.025120622761987135, 0.02239503633502397, 0.025713715088152112, 0.02145036423069226, 0.024110540650086637, 0.0191081332287675]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,"Any[0.0003578810706556477, -0.00014611909190918214, -0.0006267864693660671, -0.0006742438908656876, 0.0037136055071265977, 0.012376954088993378, 0.01950245771273015, 0.016917271309954584, 0.02197366577196644, 0.02971239975432192, 0.0328500553195023, 0.03037640394412217, 0.02957954037493878, 0.035808249921817234, 0.035945160005593856]",missing,poisson,Set([:β]),"(n = 1000,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set([:β]) || obs_model=poisson || obs_params=(n=1000,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[0.0128595428653616, 0.018461390160247337, 0.014330240731060354, 0.012469926851058306, 0.0186486447244073, 0.022500500231160597, 0.026211459973451593, 0.02897523266613108, 0.031297313895462094, 0.03343076823489614, 0.03360325890593436, 0.03176645242181635, 0.03186764901604535, 0.03285705131049848, 0.034342018318007886]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,"Any[0.00010842101574405905, 0.00028302340952163815, 0.0002382749879974937, 0.0002205931938749474, -0.00033930214843832157, 4.176541451551019e-5, 0.00042367011370491155, 0.0006518490054236688, 0.0018676021147933284, 0.0018744627352419677, 0.0014176357039009688, 0.002183044497417814, 0.002945132450069407, 0.0027002949752057224, 0.0030621248801744583]","Any[0.0014644676628702545, 0.0030655335478141587, 0.002901967545591242, 0.0038177036488213764, 0.005091306534587266, 0.004997416125600499, 0.004988634303986967, 0.0051787761696735594, 0.005234775856081569, 0.0066667572023115795, 0.006733591434216669, 0.005761219639323376, 0.007077253366825195, 0.006441982741192737, 0.0061496074831495495]",poisson,Set{Symbol}(),"(n = 10,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=10,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[7.501435763384986e-5, -0.0002804400803176765, 4.33714602519959e-5, 0.0014605625672046247, 0.0026163579935827687, 0.002741817169612284, 0.002213915610686266, 0.002364358725743364, 0.0024913265238390705, 0.0024942795423173727, 0.0028763661173371842, 0.0029385570709824452, 0.0038275183529834543, 0.00281916216108712, 0.003039649958952566]"
"(S₀ = 0.6, β = 1.25, α = 0.2)",924065950b476f6b96f6a9736b0caa7719b92ea5-dirty,"Any[0.00017145622048175498, 0.00047413530953490345, 0.0006783521221637042, 0.0003298971584782057, 7.225693522695058e-5, 0.00026414553909638984, 0.000537905579879661, 0.0006736823493134147, 0.0020529165536494467, 0.002604333029125986, 0.002533911736490165, 0.004494931994096673, 0.00549494505772919, 0.005398151799537963, 0.006566990624244613]","Any[0.0033309348719544685, 0.005759204845885416, 0.005798584638552193, 0.006285978697618344, 0.01068936338938605, 0.011602661597357868, 0.0118811006692989, 0.010924928702156866, 0.01176999939959006, 0.01184098134077529, 0.010172381420610247, 0.01238270247848273, 0.012573867982052598, 0.01311436876750309, 0.012651342049171914]",poisson,Set{Symbol}(),"(n = 100,)","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/increasing-tspan/known=Set{Symbol}() || obs_model=poisson || obs_params=(n=100,) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2","Any[-0.0011316361875730997, -3.648900214744407e-5, 0.000522609996400001, 0.0034372856376059364, 0.005191391828654427, 0.004943261627913588, 0.003437194972405794, 0.0034399453897021324, 0.005525559926790992, 0.005926443969247134, 0.00529319097300461, 0.006445318395057585, 0.007980593405032776, 0.010732154738843062, 0.011207835848333311]"
