t,free,sd,SIG
1,"(:S₀, :β)",10.0,-2.7697196966491864e-16
2,"(:S₀, :β)",10.0,3.642489419071803
3,"(:S₀, :β)",10.0,4.309103815134388
4,"(:S₀, :β)",10.0,4.640818479700129
5,"(:S₀, :β)",10.0,4.888888328964652
6,"(:S₀, :β)",10.0,5.034824913718485
7,"(:S₀, :β)",10.0,4.87071425141814
8,"(:S₀, :β)",10.0,4.5472130693305015
9,"(:S₀, :β)",10.0,3.68954506863313
10,"(:S₀, :β)",10.0,3.607848638474904
11,"(:S₀, :β)",10.0,4.03598076299605
12,"(:S₀, :β)",10.0,4.151371335790442
13,"(:S₀, :β)",10.0,4.35479570763901
14,"(:S₀, :β)",10.0,4.448377646612901
15,"(:S₀, :β)",10.0,4.502101933825492
16,"(:S₀, :β)",10.0,4.414077786396981
17,"(:S₀, :β)",10.0,4.463565286963451
18,"(:S₀, :β)",10.0,4.493970243877994
19,"(:S₀, :β)",10.0,4.4549024510125355
20,"(:S₀, :β)",10.0,4.419009333112567
21,"(:S₀, :β)",10.0,4.49095843637152
22,"(:S₀, :β)",10.0,4.517950565199852
23,"(:S₀, :β)",10.0,4.455741242122584
24,"(:S₀, :β)",10.0,4.446937296002838
25,"(:S₀, :β)",10.0,4.51787700891906
26,"(:S₀, :β)",10.0,4.495706739364488
27,"(:S₀, :β)",10.0,4.4868536587023895
28,"(:S₀, :β)",10.0,4.5022846430057175
29,"(:S₀, :β)",10.0,4.597626915361626
30,"(:S₀, :β)",10.0,4.578430701463882
1,"(:β, :α)",10.0,-2.776105644734621e-16
2,"(:β, :α)",10.0,3.7178444873372896
3,"(:β, :α)",10.0,4.425163126280328
4,"(:β, :α)",10.0,4.829245846970329
5,"(:β, :α)",10.0,5.032637889426662
6,"(:β, :α)",10.0,5.060438582303121
7,"(:β, :α)",10.0,5.044310428803846
8,"(:β, :α)",10.0,4.327908809519817
9,"(:β, :α)",10.0,3.4600367012615
10,"(:β, :α)",10.0,3.563409073438761
11,"(:β, :α)",10.0,3.648789767910518
12,"(:β, :α)",10.0,3.7487022137487016
13,"(:β, :α)",10.0,3.7709129829381545
14,"(:β, :α)",10.0,3.896945026962713
15,"(:β, :α)",10.0,3.8910453206050692
16,"(:β, :α)",10.0,4.032657000448853
17,"(:β, :α)",10.0,4.1010674429713365
18,"(:β, :α)",10.0,4.149306596781828
19,"(:β, :α)",10.0,4.164481299308365
20,"(:β, :α)",10.0,4.230463374052417
21,"(:β, :α)",10.0,4.284388886666488
22,"(:β, :α)",10.0,4.493505471461351
23,"(:β, :α)",10.0,4.536196625877802
24,"(:β, :α)",10.0,4.503103242015688
25,"(:β, :α)",10.0,4.653805849522958
26,"(:β, :α)",10.0,4.74955523940416
27,"(:β, :α)",10.0,4.8444393714936265
28,"(:β, :α)",10.0,4.883621267190624
29,"(:β, :α)",10.0,4.937418150118979
30,"(:β, :α)",10.0,4.94338993997441
1,"(:S₀, :β, :α)",10.0,-2.7633853511661517e-16
2,"(:S₀, :β, :α)",10.0,3.6936117331518874
3,"(:S₀, :β, :α)",10.0,4.422341537393868
4,"(:S₀, :β, :α)",10.0,4.757746608407305
5,"(:S₀, :β, :α)",10.0,4.811371985436761
6,"(:S₀, :β, :α)",10.0,4.84684583707927
7,"(:S₀, :β, :α)",10.0,4.767986387325783
8,"(:S₀, :β, :α)",10.0,4.385603099662824
9,"(:S₀, :β, :α)",10.0,4.050609844623732
10,"(:S₀, :β, :α)",10.0,3.9685528816086504
11,"(:S₀, :β, :α)",10.0,4.090726849737961
12,"(:S₀, :β, :α)",10.0,4.119420013818819
13,"(:S₀, :β, :α)",10.0,4.212713715091267
14,"(:S₀, :β, :α)",10.0,4.1704195233524874
15,"(:S₀, :β, :α)",10.0,4.170780571662437
16,"(:S₀, :β, :α)",10.0,4.166529933043155
17,"(:S₀, :β, :α)",10.0,4.13581430377431
18,"(:S₀, :β, :α)",10.0,4.2086618302354575
19,"(:S₀, :β, :α)",10.0,4.311709797959903
20,"(:S₀, :β, :α)",10.0,4.384658943678456
21,"(:S₀, :β, :α)",10.0,4.385653709935962
22,"(:S₀, :β, :α)",10.0,4.3918686261150475
23,"(:S₀, :β, :α)",10.0,4.461482261898289
24,"(:S₀, :β, :α)",10.0,4.594105471303596
25,"(:S₀, :β, :α)",10.0,4.58256768069431
26,"(:S₀, :β, :α)",10.0,4.708754472999092
27,"(:S₀, :β, :α)",10.0,4.757080020325125
28,"(:S₀, :β, :α)",10.0,4.8236505352881816
29,"(:S₀, :β, :α)",10.0,4.782573424043359
30,"(:S₀, :β, :α)",10.0,4.835343283376248
1,"(:S₀, :β)",40.0,-1.068212011900993e-16
2,"(:S₀, :β)",40.0,2.2829119184353677
3,"(:S₀, :β)",40.0,2.9114492976198507
4,"(:S₀, :β)",40.0,3.2402864590845804
5,"(:S₀, :β)",40.0,3.4492937374043784
6,"(:S₀, :β)",40.0,3.507288080260745
7,"(:S₀, :β)",40.0,3.4443037887404824
8,"(:S₀, :β)",40.0,3.05146971777366
9,"(:S₀, :β)",40.0,2.286590144701482
10,"(:S₀, :β)",40.0,2.2063465514622025
11,"(:S₀, :β)",40.0,2.6106265279477374
12,"(:S₀, :β)",40.0,2.805372832182965
13,"(:S₀, :β)",40.0,2.9322459784004917
14,"(:S₀, :β)",40.0,2.9843087768143346
15,"(:S₀, :β)",40.0,3.0497574415041058
16,"(:S₀, :β)",40.0,3.0586691838726434
17,"(:S₀, :β)",40.0,3.060962784281595
18,"(:S₀, :β)",40.0,3.062961831269307
19,"(:S₀, :β)",40.0,3.063712026960172
20,"(:S₀, :β)",40.0,3.0661719965816907
21,"(:S₀, :β)",40.0,3.077189713767686
22,"(:S₀, :β)",40.0,3.0757144375435734
23,"(:S₀, :β)",40.0,3.0780606598447835
24,"(:S₀, :β)",40.0,3.0970587101168845
25,"(:S₀, :β)",40.0,3.084712958117288
26,"(:S₀, :β)",40.0,3.099523360429384
27,"(:S₀, :β)",40.0,3.1222828283059174
28,"(:S₀, :β)",40.0,3.1151607722287746
29,"(:S₀, :β)",40.0,3.138070185752783
30,"(:S₀, :β)",40.0,3.114115992805139
1,"(:β, :α)",40.0,-1.030256002038099e-16
2,"(:β, :α)",40.0,2.2668727763758643
3,"(:β, :α)",40.0,2.9301260811703242
4,"(:β, :α)",40.0,3.288464736916597
5,"(:β, :α)",40.0,3.4888688291273535
6,"(:β, :α)",40.0,3.576360439205057
7,"(:β, :α)",40.0,3.5337992911941245
8,"(:β, :α)",40.0,2.7647114371087893
9,"(:β, :α)",40.0,2.0352004218647286
10,"(:β, :α)",40.0,2.158765467637215
11,"(:β, :α)",40.0,2.2899751879712493
12,"(:β, :α)",40.0,2.378430512118772
13,"(:β, :α)",40.0,2.4423551113618966
14,"(:β, :α)",40.0,2.4963216321863664
15,"(:β, :α)",40.0,2.5533373095353977
16,"(:β, :α)",40.0,2.640166451481797
17,"(:β, :α)",40.0,2.7037465089370922
18,"(:β, :α)",40.0,2.750197082980591
19,"(:β, :α)",40.0,2.777748655586735
20,"(:β, :α)",40.0,2.8138867273821817
21,"(:β, :α)",40.0,2.8861744452509064
22,"(:β, :α)",40.0,3.0253114080194163
23,"(:β, :α)",40.0,3.1187505917215654
24,"(:β, :α)",40.0,3.2156486497627346
25,"(:β, :α)",40.0,3.29821207313702
26,"(:β, :α)",40.0,3.3161219668500523
27,"(:β, :α)",40.0,3.4027540609472537
28,"(:β, :α)",40.0,3.4481913397528126
29,"(:β, :α)",40.0,3.5298984885158866
30,"(:β, :α)",40.0,3.5706862383947446
1,"(:S₀, :β, :α)",40.0,-1.042598559569674e-16
2,"(:S₀, :β, :α)",40.0,2.281359221580023
3,"(:S₀, :β, :α)",40.0,2.9466544594345523
4,"(:S₀, :β, :α)",40.0,3.273664098971268
5,"(:S₀, :β, :α)",40.0,3.4540422001241584
6,"(:S₀, :β, :α)",40.0,3.5018426667727747
7,"(:S₀, :β, :α)",40.0,3.4410167151041637
8,"(:S₀, :β, :α)",40.0,2.9741437806934665
9,"(:S₀, :β, :α)",40.0,2.585575440996885
10,"(:S₀, :β, :α)",40.0,2.538229877275751
11,"(:S₀, :β, :α)",40.0,2.625084315317364
12,"(:S₀, :β, :α)",40.0,2.6983262506778862
13,"(:S₀, :β, :α)",40.0,2.735499666814343
14,"(:S₀, :β, :α)",40.0,2.770542499142635
15,"(:S₀, :β, :α)",40.0,2.821550010583946
16,"(:S₀, :β, :α)",40.0,2.811625349739819
17,"(:S₀, :β, :α)",40.0,2.866935438495759
