t  ,free            ,sd   ,SIG
1  ,"(:S₀, :β)"     ,10.0 ,-2.7332051552586555e-16
2  ,"(:S₀, :β)"     ,10.0 ,1.378859542884189
3  ,"(:S₀, :β)"     ,10.0 ,2.0684044170082956
4  ,"(:S₀, :β)"     ,10.0 ,2.41633271457655
5  ,"(:S₀, :β)"     ,10.0 ,2.611548009781323
6  ,"(:S₀, :β)"     ,10.0 ,2.6606385002511623
7  ,"(:S₀, :β)"     ,10.0 ,2.545213820158676
8  ,"(:S₀, :β)"     ,10.0 ,2.1118386330810197
9  ,"(:S₀, :β)"     ,10.0 ,1.4149292834322713
10 ,"(:S₀, :β)"     ,10.0 ,1.353400665853324
11 ,"(:S₀, :β)"     ,10.0 ,1.6893235914635398
12 ,"(:S₀, :β)"     ,10.0 ,1.9135426375518048
13 ,"(:S₀, :β)"     ,10.0 ,2.0605674814906942
14 ,"(:S₀, :β)"     ,10.0 ,2.111442903648962
15 ,"(:S₀, :β)"     ,10.0 ,2.1540740497124027
16 ,"(:S₀, :β)"     ,10.0 ,2.1734701037645374
17 ,"(:S₀, :β)"     ,10.0 ,2.1675768975216707
18 ,"(:S₀, :β)"     ,10.0 ,2.165125104678168
19 ,"(:S₀, :β)"     ,10.0 ,2.1736325529429035
20 ,"(:S₀, :β)"     ,10.0 ,2.1779137977119265
21 ,"(:S₀, :β)"     ,10.0 ,2.184375508259242
22 ,"(:S₀, :β)"     ,10.0 ,2.1787968776147535
23 ,"(:S₀, :β)"     ,10.0 ,2.183136021362606
24 ,"(:S₀, :β)"     ,10.0 ,2.191481277216466
25 ,"(:S₀, :β)"     ,10.0 ,2.2116707862483724
26 ,"(:S₀, :β)"     ,10.0 ,2.2213910235744843
27 ,"(:S₀, :β)"     ,10.0 ,2.2452042493622577
28 ,"(:S₀, :β)"     ,10.0 ,2.233799558360925
29 ,"(:S₀, :β)"     ,10.0 ,2.240718766351514
30 ,"(:S₀, :β)"     ,10.0 ,2.254227298691542
1  ,"(:β, :α)"      ,10.0 ,-2.7405458002775775e-16
2  ,"(:β, :α)"      ,10.0 ,1.3526166079986017
3  ,"(:β, :α)"      ,10.0 ,2.008939550117676
4  ,"(:β, :α)"      ,10.0 ,2.3566649936457695
5  ,"(:β, :α)"      ,10.0 ,2.559518287048284
6  ,"(:β, :α)"      ,10.0 ,2.6390878354741676
7  ,"(:β, :α)"      ,10.0 ,2.6023250374366595
8  ,"(:β, :α)"      ,10.0 ,1.7934097339126724
