t  ,budget ,SIG                     ,NSSE
1  ,1      ,5.099167615929545e-16   ,-0.10198334453082569
4  ,1      ,0.05505412773861465     ,-0.10199670607744599
7  ,1      ,0.0994626743305309      ,-0.10220539601095
10 ,1      ,0.031990289821966236    ,-0.10261453654796923
13 ,1      ,0.0010013019766830465   ,-0.10268455071228574
16 ,1      ,0.009429523094668164    ,-0.10234687773805953
19 ,1      ,0.012930433833703263    ,-0.10197456004442694
22 ,1      ,0.01101209444178047     ,-0.1017441954032282
25 ,1      ,0.005990837101821997    ,-0.10163892403355224
28 ,1      ,0.0031440546804704737   ,-0.10162492180365709
31 ,1      ,0.001651797966378119    ,-0.10167683363088527
34 ,1      ,0.0002593335627785117   ,-0.10170069175465542
37 ,1      ,6.17009963045351e-5     ,-0.10175380617529946
40 ,1      ,0.000638654525386452    ,-0.10179317560174497
43 ,1      ,0.000760136957181669    ,-0.1018312446558768
46 ,1      ,0.0006343091743252696   ,-0.10188435067174122
49 ,1      ,0.0021260048437477777   ,-0.10187386681395617
52 ,1      ,0.0019394842138911394   ,-0.10190682143230685
55 ,1      ,0.0014040829068208535   ,-0.1019377933054938
58 ,1      ,0.002212388941953539    ,-0.10193951403370737
1  ,10     ,-8.815302654507917e-16  ,-0.10198334453082587
4  ,10     ,0.27378555243968516     ,-0.10215203032428471
7  ,10     ,0.5046210612558184      ,-0.10351200202020157
10 ,10     ,0.35600799388757776     ,-0.10658552015160926
13 ,10     ,0.10657567960969054     ,-0.10794465600665117
16 ,10     ,0.10224102109405829     ,-0.1057414491350701
19 ,10     ,0.12039322610110102     ,-0.10192232761231103
22 ,10     ,0.10256564441031342     ,-0.09962045439632691
25 ,10     ,0.0660293422624611      ,-0.09871052269881389
28 ,10     ,0.042514806971194       ,-0.0986831207805119
31 ,10     ,0.03105003111401906     ,-0.09910725384729681
34 ,10     ,0.02151566552617236     ,-0.09951381246937585
37 ,10     ,0.015533422839965626    ,-0.09987272127869871
40 ,10     ,0.01440323841934362     ,-0.10025525449914824
43 ,10     ,0.015743939543349524    ,-0.10062850801163543
46 ,10     ,0.017628628497346338    ,-0.1008729045319422
49 ,10     ,0.018199345377695568    ,-0.10109276712098345
52 ,10     ,0.018524392887613577    ,-0.10130560114437621
55 ,10     ,0.01835361293455329     ,-0.10149437209568514
58 ,10     ,0.02112622873512556     ,-0.10155782356340083
1  ,100    ,-1.3040568624944627e-15 ,-0.1019833445308257
4  ,100    ,0.6433841633178791      ,-0.10326624711520274
7  ,100    ,1.4847382598519776      ,-0.10862044342439353
10 ,100    ,1.910884816538098       ,-0.11386228470248239
13 ,100    ,0.7512903956156977      ,-0.12272107557380434
16 ,100    ,0.44717644967639264     ,-0.13077762993783118
19 ,100    ,0.5969380030321588      ,-0.10454289216869074
22 ,100    ,0.6293549186781591      ,-0.08514610843999013
25 ,100    ,0.6000877951701307      ,-0.08387308576374784
28 ,100    ,0.5520190092018492      ,-0.08468566913576994
31 ,100    ,0.4881616110729332      ,-0.08600276191181627
34 ,100    ,0.4388945940984204      ,-0.08754719963058595
37 ,100    ,0.37707653085557297     ,-0.08913561678099405
40 ,100    ,0.3178701533467375      ,-0.09081281069013146
43 ,100    ,0.274167650556856       ,-0.0924238531659973
46 ,100    ,0.23814776607821395     ,-0.093958223166093
49 ,100    ,0.21179104970226736     ,-0.09539314458811322
52 ,100    ,0.18737822615542069     ,-0.09645505986891738
55 ,100    ,0.17103451253298887     ,-0.09750697546812885
58 ,100    ,0.1493019247835273      ,-0.09834311914384425
1,1,5.105277312011935e-16,-0.08362846740379966
4,1,0.05666888114196121,-0.08370726888161724
7,1,0.089729764291854,-0.08426016462695439
10,1,0.030307596742507513,-0.08496903088216812
13,1,0.001510128549412265,-0.08437630681068169
