θtrue,utils,dekwargs,param_comb,obs_model,obs_params,θprior,path
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.1901035712469365e-16, 0.00017059719903635346, 0.007514922016798053, 0.01776588114705925, 0.015983863020035717, 0.009046790761003266, 0.004402744472089404, 0.0071414436099819754, 0.015176968717178002, 0.027007069572526608, 0.03220474259804762, 0.03304393468531358, 0.030161126347245135, 0.030580244288133253, 0.027603411287495088, 0.02183417502734753, 0.015849553289388217, 0.01290165599097834, 0.01021107648009284, 0.007982909750094854, 0.005518830285572319, 0.004275686164520454, 0.002627606311491136, 0.002098691268373424, 0.0012129936449285766, 0.0006759822791482724, 6.692738725161887e-5, 0.00018535192058273753, 0.00012109502726371752, 0.000164975791067419]","(saveat = 1, save_idxs = 2)","(:S₀, :β)",neg_binom,"(r = 1, n = 1)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=1, n=1) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.1882161921050737e-16, 0.0008719076307144352, 0.008718727390787068, 0.021275328802309354, 0.020225413312489206, 0.013286718587819945, 0.0066328335298436, 0.005165146368827753, 0.008876997010184188, 0.013549239957677083, 0.015789033717916515, 0.018521980945565873, 0.014223959205616154, 0.01095099628679888, 0.008421021186688922, 0.004967189517912203, 0.003273022575706323, 0.002469218621896267, 0.0016707415808354252, 0.0014119770365205858, 0.002155107323184268, 0.002406506643638046, 0.003118184686817375, 0.004547202680730947, 0.005569018041587855, 0.005665952382586345, 0.007287071729615141, 0.008320598540657063, 0.008720063131897276, 0.009870216621648666]","(saveat = 1, save_idxs = 2)","(:S₀, :β, :α)",neg_binom,"(r = 1, n = 1)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=1, n=1) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.1822487433477136e-16, 0.0014090531049879204, 0.010193154796944841, 0.02823800857998002, 0.03419740584114054, 0.024552200165367015, 0.01195521798634496, 0.0035465467238286158, 0.001508240473068857, 0.002097936954900096, 0.003956884099568577, 0.0035399706570759994, 0.0038416007062877697, 0.0027617511788549085, 0.0019456992382052413, 0.0010373506310557988, 0.0010196748802498428, 0.0016146839960832842, 0.0025431897008718666, 0.0028047769783353916, 0.003825797668892285, 0.005084181317886806, 0.006682272321922688, 0.00783353650084873, 0.009565586090781428, 0.010407697784122016, 0.010380136480927152, 0.012301984842432785, 0.01211794914690648, 0.013153812826894535]","(saveat = 1, save_idxs = 2)","(:β, :α)",neg_binom,"(r = 1, n = 1)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=1, n=1) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.183497744250417e-16, 0.0007287764152078821, 0.007766026101740297, 0.016837400209165725, 0.017477971490871044, 0.008458068458626596, 0.003560394957637012, 0.007907141960838734, 0.017137363018652728, 0.0265958362738929, 0.032502238832219914, 0.03728262682454023, 0.03310694637413833, 0.03171082695758045, 0.02721988297617921, 0.023178975967707714, 0.016667571803279248, 0.011212661440559369, 0.01086067144689866, 0.00770288307555921, 0.005819590208041289, 0.004755113089776924, 0.003057097443410573, 0.0015520242285852093, 0.0009840601096157144, 0.0007304027949585864, 0.0003365154499790392, 0.00018921414039553238, 0.00010848220613612116, 0.00012908047864357733]","(saveat = 1, save_idxs = 2)","(:S₀, :β)",neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.1818601652890947e-16, 0.0008480513942570821, 0.009100498402743448, 0.01921293417853235, 0.019315741552611915, 0.012867291472673235, 0.0064884461031054766, 0.005642447125211322, 0.0102067825537211, 0.013732041812794001, 0.01574186194465232, 0.016277846538048656, 0.013416147309488218, 0.011258777675181348, 0.0074148255600998995, 0.005382415776669911, 0.004159667717696873, 0.001974806871454921, 0.001976634072774357, 0.0017784240875379147, 0.0018855555331990829, 0.002133496631388359, 0.0030199905740533133, 0.004199354272889468, 0.004776248368237647, 0.006048518368343533, 0.006681954103487823, 0.007590820631396781, 0.00849331068030823, 0.009772955095717538]","(saveat = 1, save_idxs = 2)","(:S₀, :β, :α)",neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.1812772982011666e-16, 0.0014482037945262587, 0.01056643288611283, 0.027248087179676417, 0.03767383658501622, 0.02782249151388865, 0.013542883827979272, 0.003945921008012727, 0.001158004732509347, 0.002282290351729801, 0.0035029084347404436, 0.0035241145780835707, 0.002726737553426604, 0.001620789216203847, 0.0016944104034886714, 0.0011002204458125545, 0.001244196777993833, 0.0015276250068263, 0.00273906096545476, 0.003173093748388367, 0.004942445981371911, 0.005333294000404663, 0.00864619279724606, 0.009752597931943975, 0.009058480754031928, 0.010772445311372933, 0.011061281924297468, 0.012523736988723198, 0.012073147842510226, 0.012385097887355905]","(saveat = 1, save_idxs = 2)","(:β, :α)",neg_binom,"(r = 1, n = 10)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=1, n=10) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.1803058530546197e-16, 0.0008546067727139305, 0.008652518988230103, 0.017705536939819234, 0.017462581330414163, 0.010050852372762065, 0.0038811034239777703, 0.007488309813554076, 0.014762614592991986, 0.023663346565517163, 0.03249938269059458, 0.03276372707004489, 0.032223410671027894, 0.028013332339148416, 0.02462461243988543, 0.020107631915444346, 0.01701061136444705, 0.013621713599466633, 0.011106087177717678, 0.008563001147356584, 0.0054552233056597045, 0.0036035801693930715, 0.002916837863527998, 0.0021901432876549358, 0.0011438817673405353, 0.0006136392594553641, 0.0003275857684846748, -9.666218142009661e-5, 0.00012584110859094355, 0.0001703736317615405]","(saveat = 1, save_idxs = 2)","(:S₀, :β)",neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.1859679904802078e-16, 0.000555359268791867, 0.008865537438796301, 0.02007650887284113, 0.019487589389022248, 0.012425456791540687, 0.006166605854718314, 0.004646427661722905, 0.009635466429234758, 0.015044058033034984, 0.017663531759835354, 0.01787711719795322, 0.013449955403903356, 0.013007051038739906, 0.00866028745958112, 0.00563345592394478, 0.0032287738169757816, 0.00285268877709255, 0.0014876181896074701, 0.0016713749018590239, 0.001308296182899125, 0.0019303185550422124, 0.003325412726703391, 0.0036149196369740315, 0.005867088054807789, 0.005903610270612057, 0.006617288863130647, 0.007275532128840844, 0.0079107595738028, 0.008003777143709343]","(saveat = 1, save_idxs = 2)","(:S₀, :β, :α)",neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[1.1867729021730612e-16, 0.0009389835262520926, 0.011998613471978826, 0.030371900012515333, 0.03816578702629304, 0.026448758233323152, 0.01236373596858289, 0.0037861888216848684, 0.0010322971284999851, 0.002357151778868471, 0.0038993255014970487, 0.003897042045381659, 0.00323555356225323, 0.002689368766259035, 0.0013800707115399855, 0.0015175659569074218, 0.0011455437115983759, 0.0015424248014680154, 0.0019427340209533014, 0.0035073102558818357, 0.003287094957043059, 0.005777601564995514, 0.006913418019350513, 0.00764630872348921, 0.009285269643926404, 0.009817111232617446, 0.011725658487568347, 0.011523745477556071, 0.011788413717300526, 0.013614061705129894]","(saveat = 1, save_idxs = 2)","(:β, :α)",neg_binom,"(r = 1, n = 100)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=1, n=100) || param_comb=(:β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[5.831819836071839e-16, 0.0006521441016173213, 0.007966388034283357, 0.0196208832526468, 0.020427129687251345, 0.009499326346680914, 0.0026679090399799573, 0.007346644755881744, 0.019196867051549202, 0.028266987138868774, 0.037583084087037456, 0.03991125653102196, 0.03831769292439165, 0.032191759719855655, 0.030650554870893264, 0.01954653044755821, 0.018466584538191607, 0.013653958863852126, 0.011762365728156907, 0.006855330018994829, 0.006214122365179723, 0.0039003909644870333, 0.0023934079305264126, 0.0018187193582102459, 0.0012426363606801495, 0.0005499921152750057, 0.0005745977039723887, 0.00013799146006728856, 0.00011194586908436875, 0.00010466978343069897]","(saveat = 1, save_idxs = 2)","(:S₀, :β)",neg_binom,"(r = 20, n = 1)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=20, n=1) || param_comb=(:S₀, :β) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
"(S₀ = 0.6, β = 1.25, α = 0.2)","Any[5.842675301903633e-16, 0.0008175067201928456, 0.0094245852723181, 0.024032054576006368, 0.023236275691251057, 0.014300353464969736, 0.004727875824164681, 0.004935268728899009, 0.009442163051325395, 0.017157542476261087, 0.02038015517367691, 0.019115549794917253, 0.015404073713324314, 0.01241238936222178, 0.00830795762961113, 0.0054244240317076545, 0.002722301819542472, 0.0010672173048154163, 0.0011138363934653959, 0.0012725560954577983, 0.001588004471404285, 0.002105456298612746, 0.003105837353310959, 0.004109610180142409, 0.004671912974809028, 0.0065171890545196644, 0.007859888897801235, 0.0083093181171227, 0.008252392682366305, 0.00923602032224036]","(saveat = 1, save_idxs = 2)","(:S₀, :β, :α)",neg_binom,"(r = 20, n = 1)","(S₀ = Uniform{Float64}(a=0.1, b=0.9), β = Uniform{Float64}(a=0.3, b=3.0), α = Uniform{Float64}(a=0.05, b=0.3))","/home/brendaisy/OneDrive/Bren/Documents/optimal-test-design/data/sims/single-observation/obs_model=neg_binom || obs_params=(r=20, n=1) || param_comb=(:S₀, :β, :α) || θtrue=(S₀=0.6, β=1.25, α=0.2).jld2"
