t,free,n,σ,SIG
1,"(:S₀, :β)",1000,10.0,-3.1512570330960444e-16
2,"(:S₀, :β)",1000,10.0,0.15496838969034196
3,"(:S₀, :β)",1000,10.0,0.6891632168303602
4,"(:S₀, :β)",1000,10.0,1.5585767309764191
5,"(:S₀, :β)",1000,10.0,2.298396546318407
6,"(:S₀, :β)",1000,10.0,2.7748666430183686
7,"(:S₀, :β)",1000,10.0,2.9637578018407216
8,"(:S₀, :β)",1000,10.0,2.8211117405067285
9,"(:S₀, :β)",1000,10.0,2.190330697744998
10,"(:S₀, :β)",1000,10.0,2.1136191846784733
11,"(:S₀, :β)",1000,10.0,2.509500747841236
12,"(:S₀, :β)",1000,10.0,2.6691335690651266
13,"(:S₀, :β)",1000,10.0,2.700065292888475
14,"(:S₀, :β)",1000,10.0,2.669207016214061
15,"(:S₀, :β)",1000,10.0,2.571134563327134
16,"(:S₀, :β)",1000,10.0,2.4381000028544286
17,"(:S₀, :β)",1000,10.0,2.279202487830846
18,"(:S₀, :β)",1000,10.0,2.108873443148561
19,"(:S₀, :β)",1000,10.0,1.9362080652425897
20,"(:S₀, :β)",1000,10.0,1.745149109999385
21,"(:S₀, :β)",1000,10.0,1.540876651202687
22,"(:S₀, :β)",1000,10.0,1.3106955706749435
23,"(:S₀, :β)",1000,10.0,1.091926043079804
24,"(:S₀, :β)",1000,10.0,0.8792845417709105
25,"(:S₀, :β)",1000,10.0,0.6747979445411524
26,"(:S₀, :β)",1000,10.0,0.5208594499529102
27,"(:S₀, :β)",1000,10.0,0.3894993653112746
28,"(:S₀, :β)",1000,10.0,0.2914544913722499
29,"(:S₀, :β)",1000,10.0,0.21693644915715637
30,"(:S₀, :β)",1000,10.0,0.16317085790742986
1,"(:S₀, :β)",1000,40.0,-4.620304139280051e-17
2,"(:S₀, :β)",1000,40.0,0.010100582884406462
3,"(:S₀, :β)",1000,40.0,0.15430105293218208
4,"(:S₀, :β)",1000,40.0,0.3521428039025938
5,"(:S₀, :β)",1000,40.0,0.6809265514660916
6,"(:S₀, :β)",1000,40.0,1.142042442104857
7,"(:S₀, :β)",1000,40.0,1.4604294722901903
8,"(:S₀, :β)",1000,40.0,1.3446205059024845
9,"(:S₀, :β)",1000,40.0,0.9710717031399344
10,"(:S₀, :β)",1000,40.0,0.9317825038668447
11,"(:S₀, :β)",1000,40.0,1.089194632888075
12,"(:S₀, :β)",1000,40.0,1.1934431254043831
13,"(:S₀, :β)",1000,40.0,1.1904679216968852
14,"(:S₀, :β)",1000,40.0,1.1107199884960055
15,"(:S₀, :β)",1000,40.0,0.9773364311619787
16,"(:S₀, :β)",1000,40.0,0.8162581178037607
17,"(:S₀, :β)",1000,40.0,0.6579125950612371
18,"(:S₀, :β)",1000,40.0,0.5038328512993094
19,"(:S₀, :β)",1000,40.0,0.3703041682667403
20,"(:S₀, :β)",1000,40.0,0.26462133412302696
21,"(:S₀, :β)",1000,40.0,0.18341614669258255
22,"(:S₀, :β)",1000,40.0,0.12497010809964985
23,"(:S₀, :β)",1000,40.0,0.08051503818678027
24,"(:S₀, :β)",1000,40.0,0.053888375894696326
25,"(:S₀, :β)",1000,40.0,0.03611549500081026
26,"(:S₀, :β)",1000,40.0,0.023515484700512016
27,"(:S₀, :β)",1000,40.0,0.014106336231041803
28,"(:S₀, :β)",1000,40.0,0.011122509336398604
29,"(:S₀, :β)",1000,40.0,0.007749945661186726
30,"(:S₀, :β)",1000,40.0,0.006153835842949296
1,"(:β, :α)",1000,10.0,-3.163957984497756e-16
2,"(:β, :α)",1000,10.0,0.22102947017528266
3,"(:β, :α)",1000,10.0,0.8146652887813876
4,"(:β, :α)",1000,10.0,1.5705671199101239
5,"(:β, :α)",1000,10.0,2.2765850528547142
6,"(:β, :α)",1000,10.0,2.7866926023343357
7,"(:β, :α)",1000,10.0,3.0870083604803495
8,"(:β, :α)",1000,10.0,2.54443052125299
9,"(:β, :α)",1000,10.0,1.929050929602246
10,"(:β, :α)",1000,10.0,2.0953837588555513
11,"(:β, :α)",1000,10.0,2.1701026181777836
12,"(:β, :α)",1000,10.0,2.2256486362070054
13,"(:β, :α)",1000,10.0,2.216171467625569
14,"(:β, :α)",1000,10.0,2.16411452124554
15,"(:β, :α)",1000,10.0,2.0871635063704757
16,"(:β, :α)",1000,10.0,1.9908959995921394
17,"(:β, :α)",1000,10.0,1.8753641696495917
18,"(:β, :α)",1000,10.0,1.7615568271674795
19,"(:β, :α)",1000,10.0,1.6500845987888628
20,"(:β, :α)",1000,10.0,1.5576395821053113
21,"(:β, :α)",1000,10.0,1.4531453740445026
22,"(:β, :α)",1000,10.0,1.3528491592376688
23,"(:β, :α)",1000,10.0,1.230739634374294
24,"(:β, :α)",1000,10.0,1.111438877290097
25,"(:β, :α)",1000,10.0,0.9903464172253836
26,"(:β, :α)",1000,10.0,0.8694795090613955
27,"(:β, :α)",1000,10.0,0.7589883838777642
28,"(:β, :α)",1000,10.0,0.6771508895256757
29,"(:β, :α)",1000,10.0,0.6000401049353852
30,"(:β, :α)",1000,10.0,0.5452068642353318
1,"(:β, :α)",1000,40.0,-4.737543690680468e-17
2,"(:β, :α)",1000,40.0,0.016442435874154664
3,"(:β, :α)",1000,40.0,0.24674233141475274
4,"(:β, :α)",1000,40.0,0.5437944341639872
5,"(:β, :α)",1000,40.0,0.8545579042471286
6,"(:β, :α)",1000,40.0,1.2398220334536503
7,"(:β, :α)",1000,40.0,1.4739019624064988
8,"(:β, :α)",1000,40.0,1.0955312879807755
9,"(:β, :α)",1000,40.0,0.7719335278813199
10,"(:β, :α)",1000,40.0,0.7639832474524831
11,"(:β, :α)",1000,40.0,0.8094113264285225
12,"(:β, :α)",1000,40.0,0.8151086264707686
13,"(:β, :α)",1000,40.0,0.7942656654237743
14,"(:β, :α)",1000,40.0,0.7450540087487977
15,"(:β, :α)",1000,40.0,0.669556333336645
16,"(:β, :α)",1000,40.0,0.59024644063713
17,"(:β, :α)",1000,40.0,0.5142374116580986
18,"(:β, :α)",1000,40.0,0.44754182082145627
19,"(:β, :α)",1000,40.0,0.3806396643395073
20,"(:β, :α)",1000,40.0,0.33354426138861765
21,"(:β, :α)",1000,40.0,0.2992959083890927
22,"(:β, :α)",1000,40.0,0.2703613641101426
23,"(:β, :α)",1000,40.0,0.24919577983518248
24,"(:β, :α)",1000,40.0,0.23256783699694425
25,"(:β, :α)",1000,40.0,0.22374125922111163
26,"(:β, :α)",1000,40.0,0.2119559271117812
27,"(:β, :α)",1000,40.0,0.20308824398018743
28,"(:β, :α)",1000,40.0,0.19560334234985752
29,"(:β, :α)",1000,40.0,0.18655258244748604
30,"(:β, :α)",1000,40.0,0.17425786092053586
1,"(:S₀, :β, :α)",1000,10.0,-3.134381643121742e-16
2,"(:S₀, :β, :α)",1000,10.0,0.15871760360765785
3,"(:S₀, :β, :α)",1000,10.0,0.6821071515419381
4,"(:S₀, :β, :α)",1000,10.0,1.5374066657690355
5,"(:S₀, :β, :α)",1000,10.0,2.254659520662527
6,"(:S₀, :β, :α)",1000,10.0,2.737435347256336
7,"(:S₀, :β, :α)",1000,10.0,2.974622319733596
8,"(:S₀, :β, :α)",1000,10.0,2.7601605798009854
